Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
I,Ganjil,1,"Bunyi Apa?",25
I,Ganjil,2,"Ayo, Bermain!",25
I,Ganjil,3,"Awas Kuman!",25
I,Ganjil,4,"Aku Bisa!",25
I,Genap,5,"Teman Baru",25
I,Genap,6,"Temanku Berbeda",25
I,Genap,7,"Aku Ingin",25
I,Genap,8,"Di Sekitar Rumah",25
II,Ganjil,1,"Mengenal Perasaan",32
II,Ganjil,2,"Menjaga Kesehatan",30
II,Ganjil,3,"Berhati-hati di Mana Saja",32
II,Ganjil,4,"Keluargaku Unik",32
II,Genap,5,"Berteman dalam Keragaman",32
II,Genap,6,"Bijak Memakai Uang",30
II,Genap,7,"Sayang Lingkungan",32
II,Genap,8,"Hobi yang Jadi Prestasi",32
