Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
I,Ganjil,1,"Do You Like Apple? — Adaptasi Kelas I",6
I,Ganjil,2,"My Father Likes Watermelon — Adaptasi Kelas I",6
I,Ganjil,3,"Where Is My Pen? — Adaptasi Kelas I",6
I,Ganjil,4,"How Many Books Are There on the Bookshelf? — Adaptasi Kelas I",6
I,Ganjil,5,"Where Is My Pencil? — Adaptasi Kelas I",6
I,Genap,6,"It Is My Family — Adaptasi Kelas I",6
I,Genap,7,"She Is My Sister — Adaptasi Kelas I",6
I,Genap,8,"The Elephant Is Big — Adaptasi Kelas I",6
I,Genap,9,"The Giraffe Is Tall — Adaptasi Kelas I",6
I,Genap,10,"Yummy Fried Chicken — Adaptasi Kelas I",6
II,Ganjil,1,"Do You Like Apple?",6
II,Ganjil,2,"My Father Likes Watermelon",6
II,Ganjil,3,"Where Is My Pen?",6
II,Ganjil,4,"How Many Books Are There on the Bookshelf?",6
II,Ganjil,5,"Where Is My Pencil?",6
II,Genap,6,"It Is My Family",6
II,Genap,7,"She Is My Sister",6
II,Genap,8,"The Elephant Is Big",6
II,Genap,9,"The Giraffe Is Tall",6
II,Genap,10,"Yummy Fried Chicken",6
