Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
I,Ganjil,1,"Ayo Membilang sampai dengan 10",26
I,Ganjil,2,"Penjumlahan sampai dengan 10",22
I,Ganjil,3,"Pengurangan sampai dengan 10",22
I,Ganjil,4,"Mengenal Bentuk",20
I,Genap,5,"Ayo Membilang 11 sampai dengan 20",22
I,Genap,6,"Penjumlahan dan Pengurangan sampai dengan 20",26
I,Genap,7,"Mengukur Panjang Benda",20
I,Genap,8,"Mengenal Diagram",22
II,Ganjil,1,"Ayo Membilang sampai dengan 50",26
II,Ganjil,2,"Penjumlahan dan Pengurangan",24
II,Ganjil,3,"Bentuk di Sekitar Kita",22
II,Ganjil,4,"Posisi Benda dan Pola di Sekitar Kita",18
II,Genap,5,"Pecahan",18
II,Genap,6,"Pengukuran",22
II,Genap,7,"Ayo Membilang sampai dengan 100",26
II,Genap,8,"Berbagai Diagram",24
