Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
I,Ganjil,1,"Aku Cinta Al-Qur’an: Huruf Hijaiyah Berharakat dan Surah Al-Fatihah",12
I,Ganjil,2,"Rukun Iman dan Beriman kepada Allah Swt.",9
I,Ganjil,3,"Menyucikan dan Memuji Allah: Basmalah, Hamdalah, dan Bersyukur",12
I,Ganjil,4,"Rukun Islam dan Syahadatain",9
I,Ganjil,5,"Mengenal Nabi dan Rasul serta Keteladanannya",12
I,Genap,6,"Surah Pendek Pilihan dan Hadis tentang Kebersihan",12
I,Genap,7,"Asmaulhusna dan Iman kepada Malaikat",9
I,Genap,8,"Aku Menjaga Diriku: Bersih, Santun, Jujur, dan Disiplin",12
I,Genap,9,"Bersuci dengan Bersih dan Tertib",9
I,Genap,10,"Kisah Keteladanan Nabi Adam a.s. dan Nabi Nuh a.s.",12
II,Ganjil,1,"Huruf Hijaiyah Bersambung, Surah An-Nas, dan Surah Al-Kautsar",12
II,Ganjil,2,"Asmaulhusna dan Iman kepada Malaikat Allah",9
II,Ganjil,3,"Akhlak terhadap Allah dan Diri Sendiri",12
II,Ganjil,4,"Salat Fardu: Waktu, Gerakan, dan Bacaan Pokok",9
II,Ganjil,5,"Kisah Nabi Nuh a.s.: Sabar, Taat, dan Teguh",12
II,Genap,6,"Surah Pendek Pilihan dan Hadis Kebersihan",12
II,Genap,7,"Menguatkan Rukun Iman, Iman kepada Allah, dan Malaikat",9
II,Genap,8,"Memuji Allah dan Menjaga Diri dengan Kebiasaan Baik",12
II,Genap,9,"Bersuci, Zikir, dan Doa Setelah Salat",9
II,Genap,10,"Keteladanan Nabi Ibrahim a.s. dan Nabi Muhammad saw.",12
