Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
I,Ganjil,1,"Eksplorasi Media Berkarya Seni Rupa",36
I,Ganjil,2,"Menceritakan Hasil Pengamatan",18
I,Genap,3,"Menyimpulkan Karakteristik Alat dan Bahan",18
I,Genap,4,"Menyimpulkan Hasil Temuan Tiga Unsur Rupa di Sekitar",36
II,Ganjil,1,"Bermain dengan Garis, Bidang, dan Warna",24
II,Ganjil,2,"Berpendapat Mengenai Karya Seni Rupa",9
II,Ganjil,3,"Menggali Ide untuk Berkarya",9
II,Genap,4,"Eksplorasi Teknik, Alat, dan Bahan untuk Berkarya",15
II,Ganjil,5,"Program Fondasi, Keselamatan Studio, dan Portofolio",12
II,Genap,5,"Berkarya Seni Dua Dimensi dan Tiga Dimensi",9
II,Genap,6,"Berkreasi Karya Seni Rupa",15
II,Genap,7,"Pengalaman dan Perasaan Berkreasi Seni Rupa",6
II,Genap,8,"Hal Baik dari Sebuah Karya Seni",9
