Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
III,Ganjil,1,"My Daily Routines",6
III,Ganjil,2,"Talking About Daily Routines",6
III,Ganjil,3,"Numbers 50–75",6
III,Genap,4,"Numbers 76–100",6
III,Genap,5,"Where Is It?",6
III,Genap,6,"Describing Positions",6
IV,Ganjil,1,"What Are You Doing?",4
IV,Ganjil,2,"There Are 67 English Books",4
IV,Ganjil,3,"My Living Room is Beside the Kitchen",4
IV,Ganjil,4,"Cici Cooks in the Kitchen",4
IV,Ganjil,5,"Where is My Pencil?",4
IV,Ganjil,6,"The Stove is in the Kitchen",4
IV,Ganjil,7,"I Can Make Fried Egg in the Kitchen",4
IV,Genap,8,"Be On Time!",6
IV,Genap,9,"I Go to School after Having Breakfast",4
IV,Genap,10,"He Always Gets Up at 5 O'clock",4
IV,Genap,11,"How Do You Go to School?",4
IV,Genap,12,"He Goes to School by Bike",4
