Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
III,Ganjil,1,"Keajaiban Tubuhku",20
III,Ganjil,2,"Dahulu, Kini, dan Nanti",22
III,Ganjil,3,"Peduli dan Berbagi",22
III,Ganjil,4,"Siklus Hidup yang Menakjubkan",24
III,Genap,5,"Bijak Berbelanja Kebutuhan",22
III,Genap,6,"Energi, Sang Pemberi Kekuatan",24
III,Genap,7,"Jejak Penjelajah",22
III,Genap,8,"Rahasia Tiga Wujud Zat",24
IV,Ganjil,1,"Mengubah Bentuk Energi",22
IV,Ganjil,2,"Gaya di Sekitar Kita",23
IV,Ganjil,3,"Di Sini Tempat Tinggalku!",22
IV,Ganjil,4,"Iklim dan Perubahannya",23
IV,Genap,5,"Ini Khas Daerahku!",23
IV,Genap,6,"Peranku di Lingkungan Sekolah dan Masyarakat",22
IV,Genap,7,"Keragaman Budaya dan Kearifan Lokal",22
IV,Genap,8,"Menjadi Pahlawan Lingkungan",23
