Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
III,Ganjil,1,"Bilangan Cacah sampai 1.000",80
III,Ganjil,2,"Kalimat Matematika",10
III,Genap,3,"Pengukuran Panjang dan Berat",40
III,Genap,4,"Unsur-Unsur Bangun Datar",40
III,Genap,5,"Penyajian Data dalam Tabel",10
IV,Ganjil,1,"Bilangan Cacah sampai 10.000",60
IV,Ganjil,2,"Pecahan, Desimal, dan Persen",30
IV,Genap,3,"Pola Gambar dan Pola Bilangan",10
IV,Genap,4,"Pengukuran Luas dan Volume",30
IV,Genap,5,"Bangun Datar",35
IV,Genap,6,"Piktogram dan Diagram Batang",15
