Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
III,Ganjil,1,"Q.S. Al-'Alaq Ayat 1–5 dan Huruf Hijaiyah Bersambung",12
III,Ganjil,2,"Mengenal Sifat Allah dan Asmaulhusna Al-Wahhab serta Al-Khabir",9
III,Ganjil,3,"Berbaik Sangka kepada Allah dan Berbakti kepada Orang Tua, Keluarga, serta Guru",12
III,Ganjil,4,"Azan dan Ikamah: Panggilan untuk Salat",9
III,Ganjil,5,"Masa Kanak-Kanak Nabi Muhammad saw.",12
III,Genap,6,"Surah Pendek, Hafalan, dan Pesan Kebaikan",12
III,Genap,7,"Hadis tentang Kewajiban Salat",9
III,Genap,8,"Iman kepada Kitab-Kitab Allah Swt.",12
III,Genap,9,"Menjaga Hubungan Baik dengan Keluarga, Guru, dan Sesama",9
III,Genap,10,"Nabi Muhammad saw. sebelum Menjadi Rasul: Remaja yang Jujur dan Terpercaya",12
IV,Ganjil,1,"Q.S. Al-Hujurat Ayat 13 dan Persaudaraan Manusia",12
IV,Ganjil,2,"Sifat Allah dan Asmaulhusna Al-Malik, Al-Aziz, Al-Quddus, As-Salam, serta Al-Mu’min",9
IV,Ganjil,3,"Hadis Menjaga Hubungan Baik dan Menghormati Perbedaan",12
IV,Ganjil,4,"Balig dan Tanggung Jawab Seorang Mukalaf",9
IV,Ganjil,5,"Masa Remaja Nabi Muhammad saw. dan Gelar Al-Amin",12
IV,Genap,6,"Surah Pendek dan Hadis tentang Kewajiban Salat",12
IV,Genap,7,"Iman kepada Rasul-Rasul dan Kitab-Kitab Allah Swt.",9
IV,Genap,8,"Berbaik Sangka kepada Allah serta Berakhlak kepada Orang Tua, Keluarga, dan Guru",12
IV,Genap,9,"Salat Jumat, Salat Sunah, Azan, dan Ikamah",9
IV,Genap,10,"Nabi Muhammad saw. Menjadi Rasul dan Dakwah Periode Makkah",12
