Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
III,Ganjil,1,"Aktivitas Variasi Pola Gerak Dasar Lokomotor",15
III,Ganjil,2,"Aktivitas Variasi Pola Gerak Dasar Nonlokomotor",15
III,Ganjil,3,"Aktivitas Variasi Pola Gerak Dasar Manipulatif",15
III,Ganjil,4,"Aktivitas Gerak Dominan Senam",9
III,Genap,5,"Aktivitas Gerak Berirama",9
III,Genap,6,"Aktivitas Permainan dan Olahraga di Air",33
III,Genap,7,"Aktivitas Kebugaran untuk Kesehatan",6
III,Genap,8,"Aktivitas Fisik dan Memilih Makanan Bergizi",6
IV,Ganjil,1,"Ayo, Bergerak!",27
IV,Ganjil,2,"Ayo, Bermain!",24
IV,Genap,3,"Ayo, Merangkai Gerak!",27
IV,Genap,4,"Ayo, Bugarkan Tubuhmu!",30
IV,Genap,5,"Hidup yang Menyehatkan",12
