Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
III,Ganjil,1,"Seni Rupa di Sekitarku",9
III,Ganjil,2,"Bicara tentang Karya",9
III,Ganjil,3,"Berkreasi dengan Warna",9
III,Genap,4,"Kisah Gunting dan Tempel",9
III,Genap,5,"Eksplorasi Membuat Bentuk 3 Dimensi: Hewan di Sekitarku",9
IV,Ganjil,1,"Menggambar Sketsa",9
IV,Ganjil,2,"Menelaah Karakteristik Alat dan Bahan",12
IV,Ganjil,3,"Mengkreasikan Karya Seni Rupa Dua Dimensi dan Tiga Dimensi",24
IV,Genap,4,"Membuat Konstruksi Sederhana",24
IV,Genap,5,"Menanggapi Karya Seni Rupa",15
IV,Genap,6,"Membuat Karya Seni yang Berdampak",24
