Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
V,Ganjil,1,"Buying Some Mangoes and Spinach",10
V,Ganjil,2,"In the Kitchen",10
V,Ganjil,3,"Visiting Bara’s House",10
V,Genap,4,"A Market Day",10
V,Genap,5,"At the Library",10
V,Genap,6,"Reading a Lot of Stories",10
VI,Ganjil,1,"I Studied Last Night, but My Sister Didn’t",8
VI,Ganjil,2,"We Went to a Museum Last Week",6
VI,Ganjil,3,"I Was in Bali Last Week",6
VI,Ganjil,4,"How Did Cici Feel Yesterday?",6
VI,Ganjil,5,"What Did You Do Yesterday?",6
VI,Ganjil,6,"My Friend’s Experience",8
VI,Genap,7,"I Will Go to Bromo",6
VI,Genap,8,"I Will Go to Dufan",6
VI,Genap,9,"I Will Study at Junior High School Next Year",6
VI,Genap,10,"I Want to Be a Pilot",6
VI,Genap,11,"My Dream",8
