Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
V,Ganjil,1,"Di Mana Indonesia Berada?",23
V,Ganjil,2,"Majulah Daerahku!",23
V,Ganjil,3,"Harmoni dalam Ekosistem",23
V,Ganjil,4,"Air Sumber Kehidupan",22
V,Genap,5,"Daerahku yang Bersejarah",23
V,Genap,6,"Perubahan pada Diriku",22
V,Genap,7,"Bermain dengan Cahaya",22
V,Genap,8,"Ramai karena Bunyi",22
VI,Ganjil,1,"Makanan Bergizi untuk Kesehatan Pencernaanmu",27
VI,Ganjil,2,"Tarik dan Embuskan",26
VI,Ganjil,3,"Jejak Sang Pahlawan",27
VI,Genap,4,"Kearifan Lokal, Warisan Leluhur untuk Persatuan Bangsa",27
VI,Genap,5,"Energi untuk Masa Depan",26
VI,Genap,6,"Mengembara di Jagat Raya",27
