Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
V,Ganjil,1,"Q.S. Al-Ma'un dan Kepedulian Sosial",18
V,Ganjil,2,"Asmaul Husna Al-Qawiyyu dan Al-Muhyi",12
V,Ganjil,3,"Berdoa, Bertawakal, dan Indahnya Saling Menghargai",12
V,Ganjil,4,"Zakat Fitrah dan Zakat Mal",24
V,Ganjil,5,"Hijrah Nabi Muhammad saw. ke Madinah",12
V,Genap,6,"Surah Pendek dan Hadis Berbuat Baik",18
V,Genap,7,"Iman kepada Hari Akhir",12
V,Genap,8,"Akhlak kepada Tetangga, Non-Muslim, Hewan, dan Tumbuhan",12
V,Genap,9,"Puasa, Infak, Sedekah, dan Wakaf",24
V,Genap,10,"Keteladanan Khulafaurasyidin",12
VI,Ganjil,1,"Q.S. Ad-Duha dan Kepedulian kepada Anak Yatim",20
VI,Ganjil,2,"Asmaul Husna Al-Ghaffar, Al-'Afuw, Al-Wahid, dan As-Samad",12
VI,Ganjil,3,"Pentingnya Penyesalan dan Saling Memaafkan",16
VI,Ganjil,4,"Hukum Halal dan Haram",16
VI,Ganjil,5,"Jasa Khalifah Abu Bakar As-Siddiq dan Umar bin Khattab",12
VI,Genap,6,"Q.S. Al-A'la dan Kebesaran Allah Swt.",20
VI,Genap,7,"Indahnya Ketetapan Allah: Qada dan Qadar",12
VI,Genap,8,"Perilaku Peduli Lingkungan",16
VI,Genap,9,"Puasa Sunah",16
VI,Genap,10,"Jasa Khalifah Utsman bin Affan dan Ali bin Abi Thalib",12
