Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
V,Ganjil,1,"Sejarah Kelahiran dan Nilai-Nilai Pancasila",36
V,Ganjil,2,"Norma, Hak, Kewajiban, dan Musyawarah",36
V,Genap,3,"Keragaman Budaya dalam Bhinneka Tunggal Ika",36
V,Genap,4,"Wilayah NKRI dan Gotong Royong",36
VI,Ganjil,1,"Belajar Pancasila dengan Menyenangkan",16
VI,Ganjil,2,"Mengamalkan Pancasila untuk Kebahagiaan Bersama",20
VI,Ganjil,3,"Mengenal Norma, Hak, dan Kewajiban",16
VI,Ganjil,4,"Belajar Bermusyawarah",16
VI,Genap,5,"Menghormati Perbedaan Budaya dan Agama",20
VI,Genap,6,"Provinsiku Bagian dari NKRI",18
VI,Genap,7,"Menjaga Persatuan dengan Gotong Royong",17
