Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
V,Ganjil,1,"Eksplorasi Gerak",27
V,Ganjil,2,"Berpikir Cerdas, Bergerak Taktis",24
V,Genap,3,"Aturan Baru, Permainan Seru",15
V,Genap,4,"Komunitas Kesehatan",15
V,Genap,5,"Menjadi Sehat dan Aktif",15
VI,Ganjil,1,"Jago Bergerak: Taktik Juara",27
VI,Ganjil,2,"Sahabat Lapangan: Serunya Main Adil dan Kompak!",27
VI,Genap,3,"Energi Super: Rahasia Tubuh Sehat dan Kuat",21
VI,Genap,4,"Makanan Sehat: Bahan Bakar untuk Bergerak",27
VI,Genap,5,"Pahlawan Cilik: Siap Menolong dan Jaga Diri",12
