Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
V,Ganjil,1,"Unsur dan Prinsip Seni Rupa di Sekitar Kita",8
V,Ganjil,2,"Mengeksplorasi Ritme dalam Objek di Sekitar Kita",8
V,Ganjil,3,"Menggambar Objek dengan Proporsi dan Komposisi",10
V,Genap,4,"Mengeksplorasi Simpul dan Berkarya Makrame",10
V,Genap,5,"Mengeksplorasi dan Berkarya Anyaman",10
V,Genap,6,"Berkarya Seni Rupa dari Limbah",10
VI,Ganjil,1,"Menemukan Keindahan di Sekitar Kita",9
VI,Ganjil,2,"Belajar dari Karya Orang Lain",9
VI,Ganjil,3,"Ideku, Gagasanku",9
VI,Genap,4,"Karya yang Mewakili Diriku",9
VI,Genap,5,"Aku Seniman Cilik",9
