Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
VII,Ganjil,1,"Jelajah Nusantara",30
VII,Ganjil,2,"Berkelana di Dunia Imajinasi",30
VII,Ganjil,3,"Hal yang Baik bagi Tubuh",30
VII,Genap,4,"Aksi Nyata Para Pelindung Bumi",30
VII,Genap,5,"Membuka Gerbang Dunia",30
VII,Genap,6,"Sampaikan Melalui Surat",30
VIII,Ganjil,1,"Menulis Teks Laporan Hasil Observasi: Peristiwa-Peristiwa yang Diamati",18
VIII,Ganjil,2,"Menulis Iklan dan Slogan: Menyampaikan Ide dengan Kata dan Gambar",18
VIII,Ganjil,3,"Menulis Artikel Ilmiah Populer: Dunia yang Bersahabat",18
VIII,Genap,4,"Mengulas Karya Fiksi: Kisah-Kisah Favoritku",18
VIII,Genap,5,"Menciptakan Puisi: Mengungkapkan Isi Hati",18
VIII,Genap,6,"Menulis Teks Pidato: Menabur Pesan-Pesan Kebaikan",18
IX,Ganjil,1,"Berbagi Argumentasi dalam Teks Diskusi",40
IX,Ganjil,2,"Belajar Berpantun",40
IX,Genap,3,"Menuangkan Gagasan dalam Artikel Ilmiah Populer",44
IX,Genap,4,"Meneladani Pesan Moral dalam Legenda",36
