SUMBER BAHASA INDONESIA FASE D
https://drive.google.com/drive/folders/1_KiotfJWM1QkTZ2cED2G5nI5WcymajvP
CP | Kelas VII | Capaian Pembelajaran Bahasa Indonesia K-VII Revisi V1.docx | https://drive.google.com/file/d/1J3iG0tw9VJmGs_uvntDiV8niMZIqb9Vh/view
ATP | Kelas VII | Alur Tujuan Pembelajaran Bahasa Indonesia K-VII Revisi V1.docx | https://drive.google.com/file/d/1J3iG0tw9VJmGs_uvntDiV8niMZIqb9Vh/view
PROTA | Kelas VII | Program Tahunan Bahasa Indonesia K-VII Revisi V1.docx | https://drive.google.com/file/d/1J3iG0tw9VJmGs_uvntDiV8niMZIqb9Vh/view
PROMES | Kelas VII | Program Semester Bahasa Indonesia K-VII Revisi V1.docx | https://drive.google.com/file/d/1J3iG0tw9VJmGs_uvntDiV8niMZIqb9Vh/view
KKTP | Kelas VII | Kriteria Ketercapaian Tujuan Pembelajaran Bahasa Indonesia K-VII Revisi V1.docx | https://drive.google.com/file/d/1J3iG0tw9VJmGs_uvntDiV8niMZIqb9Vh/view
CP | Kelas VIII | Capaian Pembelajaran Bahasa Indonesia K-VIII Revisi V1.docx | https://drive.google.com/file/d/1jdGJ93WEvam_ZvujDgGY2Os88Jp6sQry/view
ATP | Kelas VIII | Alur Tujuan Pembelajaran Bahasa Indonesia K-VIII Revisi V1.docx | https://drive.google.com/file/d/1jdGJ93WEvam_ZvujDgGY2Os88Jp6sQry/view
PROTA | Kelas VIII | Program Tahunan Bahasa Indonesia K-VIII Revisi V1.docx | https://drive.google.com/file/d/1jdGJ93WEvam_ZvujDgGY2Os88Jp6sQry/view
PROMES | Kelas VIII | Program Semester Bahasa Indonesia K-VIII Revisi V1.docx | https://drive.google.com/file/d/1jdGJ93WEvam_ZvujDgGY2Os88Jp6sQry/view
KKTP | Kelas VIII | Kriteria Ketercapaian Tujuan Pembelajaran Bahasa Indonesia K-VIII Revisi V1.docx | https://drive.google.com/file/d/1jdGJ93WEvam_ZvujDgGY2Os88Jp6sQry/view
CP | Kelas IX | Capaian Pembelajaran Bahasa Indonesia K-IX Revisi V1.docx | https://drive.google.com/file/d/1o7lb_uzoufzRliDHgKdK9Oqyfg3JSW5p/view
ATP | Kelas IX | Alur Tujuan Pembelajaran Bahasa Indonesia K-IX Revisi V1.docx | https://drive.google.com/file/d/1o7lb_uzoufzRliDHgKdK9Oqyfg3JSW5p/view
PROTA | Kelas IX | Program Tahunan Bahasa Indonesia K-IX Revisi V1.docx | https://drive.google.com/file/d/1o7lb_uzoufzRliDHgKdK9Oqyfg3JSW5p/view
PROMES | Kelas IX | Program Semester Bahasa Indonesia K-IX Revisi V1.docx | https://drive.google.com/file/d/1o7lb_uzoufzRliDHgKdK9Oqyfg3JSW5p/view
KKTP | Kelas IX | Kriteria Ketercapaian Tujuan Pembelajaran Bahasa Indonesia K-IX Revisi V1.docx | https://drive.google.com/file/d/1o7lb_uzoufzRliDHgKdK9Oqyfg3JSW5p/view
