Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
VII,Ganjil,1,"About Me",20
VII,Ganjil,2,"Culinary and Me",22
VII,Ganjil,3,"Home Sweet Home",22
VII,Genap,4,"My School Activities",22
VII,Genap,5,"This is My School",22
VIII,Ganjil,1,"Celebrating Independence Day",21
VIII,Ganjil,2,"Kindness Begins With Me",21
VIII,Ganjil,3,"Love Our World",21
VIII,Genap,4,"No Littering",21
VIII,Genap,5,"Embrace Yourself",21
IX,Ganjil,1,"Exploring Fauna of Indonesia",12
IX,Ganjil,2,"Taking Trips",12
IX,Ganjil,3,"Journeys to the Fantasy Worlds",12
IX,Genap,4,"Upcycling Used Materials",12
IX,Genap,5,"Digital Life",12
