SUMBER BAHASA INGGRIS FASE D
https://drive.google.com/drive/folders/1sP39jrYmNtkj-5jb2fu6G_toKHsvfJbY
CP | Kelas VII | CP Bahasa Inggris K-VII.doc | https://drive.google.com/file/d/1BlujcCi4EY63plZZBaLTipVpal89gHxL/view
ATP | Kelas VII | ATP Bahasa Inggris K-VII (Deep Learning).docx | https://drive.google.com/file/d/1krtajjV3DwNmX5mEQZXQDM2zHukwXBmr/view
PROTA | Kelas VII | Prota Bahasa Inggris K-VII (Deep Learning).docx | https://drive.google.com/file/d/1-N3mUZdNmOsZ7q0xBwsbNN-E8_UCykdk/view
PROMES | Kelas VII | Promes Bahasa Inggris K-VII (Deep Learning).docx | https://drive.google.com/file/d/1u4A3CGhLfsbGLKb9fdtmfIwEIQYxAFOa/view
KKTP | Kelas VII | KKTP Bahasa Inggris K-VII (Deep Learning).docx | https://drive.google.com/file/d/10Z8H1IkdMW7gimLKfxxna2yLmAQF75VW/view
CP | Kelas VIII | CP Bahasa Inggris K-VIII.doc | https://drive.google.com/file/d/12hiQ8PySDhTqFn9WeJZeE_SHdbCgfAVY/view
ATP | Kelas VIII | ATP Bahasa Inggris K-VIII (Deep Learning).docx | https://drive.google.com/file/d/11tGy3zIk_Hwd-jndSPXQhclsaTIiM5K_/view
PROTA | Kelas VIII | Prota Bahasa Inggris K-VIII (Deep Learning).docx | https://drive.google.com/file/d/1In51znTP_0c2aS-LceZDTUK3xk7wJ7M0/view
PROMES | Kelas VIII | Promes Bahasa Inggris K-VIII (Deep Learning).docx | https://drive.google.com/file/d/1iSrPXXIf1Rbn5cyMLToewgeSGCUyvHJg/view
KKTP | Kelas VIII | KKTP Bahasa Inggris K-VIII (Deep Learning).docx | https://drive.google.com/file/d/1SYVZJs_I_6ewyF7SQOV-ok1ABL5LfTPZ/view
CP | Kelas IX | CP Bahasa Inggris K-IX (Deep Learning).doc | https://drive.google.com/file/d/1vtb-ggIYXJs8JJXV1K6b_wJ2h3rLNNwm/view
ATP | Kelas IX | ATP Bahasa Inggris K-IX (Deep Learning).docx | https://drive.google.com/file/d/12Ruz7WKnGRAzZWeQD13hQHl18mRtKbEY/view
PROTA | Kelas IX | Prota Bahasa Inggris K-IX (Deep Learning).docx | https://drive.google.com/file/d/12tzPjZdJ5FwfVAPWPIOSd3cHThbKDBiH/view
PROMES | Kelas IX | Promes Bahasa Inggris K-IX (Deep Learning).docx | https://drive.google.com/file/d/1gUtdh8hK8iUoqvRE0EeNorKjIHyTZSFB/view
KKTP | Kelas IX | KKTP Bahasa Inggris K-IX (Deep Learning).docx | https://drive.google.com/file/d/1rUKxQJH-7a8lH5S8gHmPuFF5sUANj9SP/view
