Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
VII,Ganjil,1,"Berpikir Komputasi untuk Penyelesaian Masalah",26
VII,Ganjil,2,"Pengolahan Data",8
VII,Ganjil,3,"Literasi Informasi",8
VII,Genap,4,"Keseimbangan Hidup di Dunia Digital",8
VII,Genap,5,"Perkakas Teknologi Informasi dan Komunikasi",34
VIII,Ganjil,1,"Analisis Data",12
VIII,Ganjil,2,"Berpikir Komputasional",8
VIII,Ganjil,3,"Algoritma dan Pemrograman",14
VIII,Genap,4,"Jejak Bermedia Digital",8
VIII,Genap,5,"Pemanfaatan Perangkat Digital",20
IX,Ganjil,1,"Berpikir Komputasional dalam Analisis Data",16
IX,Ganjil,2,"Berpikir Komputasional dalam Algoritma dan Pemrograman",16
IX,Genap,3,"Literasi Digital untuk Produktivitas",14
IX,Genap,4,"Keamanan Digital",18
