SUMBER INFORMATIKA FASE D
https://drive.google.com/drive/folders/1-R2LsjzpKv3oV9kddng3byBKGGP7_SQK
CP | Kelas VII | Capaian Pembelajaran Informatika Kelas VII Revisi V1 | https://drive.google.com/file/d/1bV_bioZS1RH39xh2JYtvSCDOVksk0fbw/view
ATP | Kelas VII | Alur Tujuan Pembelajaran Informatika Kelas VII Revisi V1 | https://drive.google.com/file/d/1bV_bioZS1RH39xh2JYtvSCDOVksk0fbw/view
Prota | Kelas VII | Program Tahunan Informatika Kelas VII Revisi V1 | https://drive.google.com/file/d/1bV_bioZS1RH39xh2JYtvSCDOVksk0fbw/view
Promes | Kelas VII | Program Semester Informatika Kelas VII Revisi V1 | https://drive.google.com/file/d/1bV_bioZS1RH39xh2JYtvSCDOVksk0fbw/view
KKTP | Kelas VII | Kriteria Ketercapaian Tujuan Pembelajaran Informatika Kelas VII Revisi V1 | https://drive.google.com/file/d/1bV_bioZS1RH39xh2JYtvSCDOVksk0fbw/view
CP | Kelas VIII | Capaian Pembelajaran Informatika Kelas VIII Revisi V1 | https://drive.google.com/file/d/1NAxIINslmeJ3myJsebrsvWX3629bkgMd/view
ATP | Kelas VIII | Alur Tujuan Pembelajaran Informatika Kelas VIII Revisi V1 | https://drive.google.com/file/d/1NAxIINslmeJ3myJsebrsvWX3629bkgMd/view
Prota | Kelas VIII | Program Tahunan Informatika Kelas VIII Revisi V1 | https://drive.google.com/file/d/1NAxIINslmeJ3myJsebrsvWX3629bkgMd/view
Promes | Kelas VIII | Program Semester Informatika Kelas VIII Revisi V1 | https://drive.google.com/file/d/1NAxIINslmeJ3myJsebrsvWX3629bkgMd/view
KKTP | Kelas VIII | Kriteria Ketercapaian Tujuan Pembelajaran Informatika Kelas VIII Revisi V1 | https://drive.google.com/file/d/1NAxIINslmeJ3myJsebrsvWX3629bkgMd/view
CP | Kelas IX | Capaian Pembelajaran Informatika Kelas IX Revisi V1 | https://drive.google.com/file/d/1mjThxHrZP2TwMRsefXf5I-3SPqjXohYZ/view
ATP | Kelas IX | Alur Tujuan Pembelajaran Informatika Kelas IX Revisi V1 | https://drive.google.com/file/d/1mjThxHrZP2TwMRsefXf5I-3SPqjXohYZ/view
Prota | Kelas IX | Program Tahunan Informatika Kelas IX Revisi V1 | https://drive.google.com/file/d/1mjThxHrZP2TwMRsefXf5I-3SPqjXohYZ/view
Promes | Kelas IX | Program Semester Informatika Kelas IX Revisi V1 | https://drive.google.com/file/d/1mjThxHrZP2TwMRsefXf5I-3SPqjXohYZ/view
KKTP | Kelas IX | Kriteria Ketercapaian Tujuan Pembelajaran Informatika Kelas IX Revisi V1 | https://drive.google.com/file/d/1mjThxHrZP2TwMRsefXf5I-3SPqjXohYZ/view
