Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
VII,Ganjil,1,"Hakikat Ilmu Sains dan Metode Ilmiah",24
VII,Ganjil,2,"Zat dan Perubahannya",20
VII,Ganjil,3,"Suhu, Kalor, dan Pemuaian",20
VII,Ganjil,4,"Gerak dan Gaya",20
VII,Genap,5,"Karakteristik dan Klasifikasi Makhluk Hidup",20
VII,Genap,6,"Ekologi dan Pelestarian Lingkungan",20
VII,Genap,7,"Bumi dan Tata Surya",20
VIII,Ganjil,1,"Struktur dan Fungsi Tubuh Makhluk Hidup (Bagian I): Sistem Pencernaan dan Peredaran Darah",20
VIII,Ganjil,2,"Struktur dan Fungsi Tubuh Makhluk Hidup (Bagian II): Sistem Pernapasan dan Ekskresi",18
VIII,Ganjil,3,"Memanfaatkan Usaha, Energi, dan Pesawat Sederhana",18
VIII,Ganjil,4,"Teknologi Penerapan Tekanan pada Zat",22
VIII,Genap,5,"Manfaat Gelombang dan Cahaya bagi Manusia",18
VIII,Genap,6,"Pemisahan Campuran di Sekitar Kita",18
VIII,Genap,7,"Tanah bagi Kehidupan Berkelanjutan",30
IX,Ganjil,1,"Sistem Koordinasi dan Homeostasis Tubuh Manusia",20
IX,Ganjil,2,"Zat Aditif dan Zat Adiktif",24
IX,Ganjil,3,"Sistem Reproduksi Manusia",20
IX,Genap,4,"Pewarisan Sifat dan Bioteknologi",20
IX,Genap,5,"Listrik, Magnet, dan Energi Alternatif",24
IX,Genap,6,"Isu-Isu Lingkungan",20
