SUMBER ILMU PENGETAHUAN ALAM FASE D
https://drive.google.com/drive/folders/1CL05KWzf2wWOjZJ0WgJpJXIZocIGOFtZ
CP | Kelas VII | Capaian Pembelajaran IPA Fase D - Revisi 2025 | https://drive.google.com/file/d/13ihWAffFkdYBnFq7ZIEV75oMA5w_tuEu/view?usp=drive_link
ATP | Kelas VII | ATP IPA Kelas VII - Versi Revisi 2026 | https://drive.google.com/file/d/1pWx07lf1qj1Z-II7WzwkfIaDdUexn-ZL/view?usp=drive_link
Prota | Kelas VII | Prota IPA Kelas VII - Versi Revisi 2026 | https://drive.google.com/file/d/1pWx07lf1qj1Z-II7WzwkfIaDdUexn-ZL/view?usp=drive_link
Promes | Kelas VII | Promes IPA Kelas VII - Versi Revisi 2026 | https://drive.google.com/file/d/1pWx07lf1qj1Z-II7WzwkfIaDdUexn-ZL/view?usp=drive_link
KKTP | Kelas VII | KKTP IPA Kelas VII - Versi Revisi 2026 | https://drive.google.com/file/d/1pWx07lf1qj1Z-II7WzwkfIaDdUexn-ZL/view?usp=drive_link
Buku Siswa Revisi | Kelas VII | Buku Siswa IPA Kelas VII Edisi Revisi 2023 | https://drive.google.com/file/d/1A0MuAepcGfPUV7hBagoIuQb_U50odleS/view?usp=drive_link
Panduan Guru Revisi | Kelas VII | Panduan Guru IPA Kelas VII Edisi Revisi 2023 | https://drive.google.com/file/d/1pWx07lf1qj1Z-II7WzwkfIaDdUexn-ZL/view?usp=drive_link
ATP | Kelas VIII | ATP IPA Kelas VIII - Versi Revisi 2026 | https://drive.google.com/file/d/1_DDPVqsBm2byu4p8V1NwxzSIU4CN1jzy/view?usp=drive_link
Prota | Kelas VIII | Prota IPA Kelas VIII - Versi Revisi 2026 | https://drive.google.com/file/d/1_DDPVqsBm2byu4p8V1NwxzSIU4CN1jzy/view?usp=drive_link
Promes | Kelas VIII | Promes IPA Kelas VIII - Versi Revisi 2026 | https://drive.google.com/file/d/1_DDPVqsBm2byu4p8V1NwxzSIU4CN1jzy/view?usp=drive_link
KKTP | Kelas VIII | KKTP IPA Kelas VIII - Versi Revisi 2026 | https://drive.google.com/file/d/1_DDPVqsBm2byu4p8V1NwxzSIU4CN1jzy/view?usp=drive_link
Buku Siswa Revisi | Kelas VIII | Buku Siswa IPA Kelas VIII Edisi Revisi 2024 | https://drive.google.com/file/d/1zgyXgHcZk1BNNgynDGwuEC-hqjKFJKq4/view?usp=drive_link
Panduan Guru Revisi | Kelas VIII | Panduan Guru IPA Kelas VIII Edisi Revisi 2024 | https://drive.google.com/file/d/1_DDPVqsBm2byu4p8V1NwxzSIU4CN1jzy/view?usp=drive_link
ATP | Kelas IX | ATP IPA Kelas IX - Versi Revisi 2026 | https://drive.google.com/file/d/13ihWAffFkdYBnFq7ZIEV75oMA5w_tuEu/view?usp=drive_link
Prota | Kelas IX | Prota IPA Kelas IX - Versi Revisi 2026 | https://drive.google.com/file/d/13ihWAffFkdYBnFq7ZIEV75oMA5w_tuEu/view?usp=drive_link
Promes | Kelas IX | Promes IPA Kelas IX - Versi Revisi 2026 | https://drive.google.com/file/d/13ihWAffFkdYBnFq7ZIEV75oMA5w_tuEu/view?usp=drive_link
KKTP | Kelas IX | KKTP IPA Kelas IX - Versi Revisi 2026 | https://drive.google.com/file/d/13ihWAffFkdYBnFq7ZIEV75oMA5w_tuEu/view?usp=drive_link
Buku Siswa Revisi | Kelas IX | Buku Siswa IPA Kelas IX Edisi Revisi 2025 | https://drive.google.com/file/d/1ADNS2xdNyQhoORbgtksaijPY8Txebr_j/view?usp=drive_link
Panduan Guru Revisi | Kelas IX | Panduan Guru IPA Kelas IX Edisi Revisi 2025 | https://drive.google.com/file/d/13ihWAffFkdYBnFq7ZIEV75oMA5w_tuEu/view?usp=drive_link
