Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
VII,Ganjil,1,"Kehidupan Sosial dan Kondisi Lingkungan Sekitar",27
VII,Ganjil,2,"Keberagaman Lingkungan Sekitar",27
VII,Genap,3,"Potensi Ekonomi Lingkungan",27
VII,Genap,4,"Pemberdayaan Masyarakat",27
VIII,Ganjil,1,"Kondisi Geografis dan Masyarakat Indonesia",24
VIII,Ganjil,2,"Ragam Aktivitas Manusia",24
VIII,Genap,3,"Perubahan dan Keberlanjutan dalam Kehidupan Masyarakat",32
VIII,Genap,4,"Perdagangan Antarwilayah di Indonesia",24
IX,Ganjil,1,"Nenek Moyang Bangsa Indonesia dan Jalur Rempah Nusantara",32
IX,Ganjil,2,"Mitigasi Bencana dan Perubahan Sosial Budaya",28
IX,Genap,3,"Perdagangan Era Digital dan Peristiwa Sejarah",32
