SUMBER ILMU PENGETAHUAN SOSIAL FASE D
https://drive.google.com/drive/folders/1SrfpnFeJ7NDF1xbJWgVNwpGI1P3lHlE7
CP | Kelas VII | Capaian Pembelajaran IPS K-VII Revisi V24.docx | https://guru.kemendikdasmen.go.id/kurikulum/referensi-penerapan/capaian-pembelajaran/sd-sma/ilmu-pengetahuan-sosial-ips/fase-d/
ATP | Kelas VII | Alur Tujuan Pembelajaran IPS K-VII Revisi V24.docx | https://drive.google.com/file/d/1Za7wNEfdA46MDQbBvH397Z2P1gXCK9O6/view
Prota | Kelas VII | Program Tahunan IPS K-VII Revisi V24.docx | https://drive.google.com/file/d/1Za7wNEfdA46MDQbBvH397Z2P1gXCK9O6/view
Promes | Kelas VII | Program Semester IPS K-VII Revisi V24.docx | https://drive.google.com/file/d/1Za7wNEfdA46MDQbBvH397Z2P1gXCK9O6/view
KKTP | Kelas VII | Kriteria Ketercapaian Tujuan Pembelajaran IPS K-VII Revisi V24.docx | https://drive.google.com/file/d/1Za7wNEfdA46MDQbBvH397Z2P1gXCK9O6/view
CP | Kelas VIII | Capaian Pembelajaran IPS K-VIII Revisi V24.docx | https://guru.kemendikdasmen.go.id/kurikulum/referensi-penerapan/capaian-pembelajaran/sd-sma/ilmu-pengetahuan-sosial-ips/fase-d/
ATP | Kelas VIII | Alur Tujuan Pembelajaran IPS K-VIII Revisi V24.docx | https://drive.google.com/file/d/1rPPsrXdckdUTAXeVC71EE1r8-Ri_E6m1/view
Prota | Kelas VIII | Program Tahunan IPS K-VIII Revisi V24.docx | https://drive.google.com/file/d/1rPPsrXdckdUTAXeVC71EE1r8-Ri_E6m1/view
Promes | Kelas VIII | Program Semester IPS K-VIII Revisi V24.docx | https://drive.google.com/file/d/1rPPsrXdckdUTAXeVC71EE1r8-Ri_E6m1/view
KKTP | Kelas VIII | Kriteria Ketercapaian Tujuan Pembelajaran IPS K-VIII Revisi V24.docx | https://drive.google.com/file/d/1rPPsrXdckdUTAXeVC71EE1r8-Ri_E6m1/view
CP | Kelas IX | Capaian Pembelajaran IPS K-IX Revisi V24.docx | https://guru.kemendikdasmen.go.id/kurikulum/referensi-penerapan/capaian-pembelajaran/sd-sma/ilmu-pengetahuan-sosial-ips/fase-d/
ATP | Kelas IX | Alur Tujuan Pembelajaran IPS K-IX Revisi V24.docx | https://drive.google.com/file/d/1J0ecA0ecb-9hjKvHyIWIlBwOdrs512ct/view
Prota | Kelas IX | Program Tahunan IPS K-IX Revisi V24.docx | https://drive.google.com/file/d/1J0ecA0ecb-9hjKvHyIWIlBwOdrs512ct/view
Promes | Kelas IX | Program Semester IPS K-IX Revisi V24.docx | https://drive.google.com/file/d/1J0ecA0ecb-9hjKvHyIWIlBwOdrs512ct/view
KKTP | Kelas IX | Kriteria Ketercapaian Tujuan Pembelajaran IPS K-IX Revisi V24.docx | https://drive.google.com/file/d/1J0ecA0ecb-9hjKvHyIWIlBwOdrs512ct/view
