Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
VII,Ganjil,1,"Bilangan Bulat",29
VII,Ganjil,2,"Aljabar",22
VII,Ganjil,3,"Persamaan Linear",22
VII,Ganjil,4,"Perbandingan Senilai Dan Perbandingan Berbalik Nilai",23
VII,Genap,5,"Bangun Datar",15
VII,Genap,6,"Bangun Ruang",23
VII,Genap,7,"Menggunakan Data",10
VIII,Ganjil,1,"Bilangan Berpangkat",30
VIII,Ganjil,2,"Teorema Pythagoras",32
VIII,Ganjil,3,"Persamaan Dan Pertidaksamaan Linear Satu Variabel",34
VIII,Genap,4,"Relasi Dan Fungsi",16
VIII,Genap,5,"Persamaan Garis Lurus",18
VIII,Genap,6,"Statistika",14
IX,Ganjil,1,"Sistem Persamaan Linear Dua Variabel",32
IX,Ganjil,2,"Bangun Ruang",35
IX,Ganjil,3,"Transformasi Geometri",30
IX,Genap,4,"Peluang Dan Pemilihan Sampel",32
