SUMBER MATEMATIKA FASE D
https://drive.google.com/drive/folders/19iE5wmK7AUTO1AilJSPGq5mfL1P7-FpK
ATP | Kelas IX | ATP Matematika K-IX (Deep Learning).docx | https://docs.google.com/document/d/1uo5tioRxixGj0StMrkuWpzhDtkvwiLnI/edit
ATP | Kelas VII | ATP Matematika K-VII (Deep Learning).docx | https://docs.google.com/document/d/1SSJqr1rwpQm9wxzJjR7PWwD1h-vZ8F80/edit
ATP | Kelas VIII | ATP Matematika K-VIII (Deep Learning).docx | https://docs.google.com/document/d/1PyjtNubSlfjsVZQqHL1SyLVElJyCYIfg/edit
CP | Kelas VII | CP Matematika K-VII (Deep Learning).docx | https://docs.google.com/document/d/1pdTEx1dpJN08ogK0wRPv2wlRjDlxhqxQ/edit
KKTP | Kelas IX | KKTP Matematika K-IX (Deep Learning).docx | https://docs.google.com/document/d/10no54V3NISEDMwMCGkwyr8jO52ggJl8s/edit
KKTP | Kelas VII | KKTP Matematika K-VII (Deep Learning).docx | https://docs.google.com/document/d/1teKChZBGZwgMfoejvkLr2-EOa0lode8X/edit
KKTP | Kelas VIII | KKTP Matematika K-VIII (Deep Learning).docx | https://docs.google.com/document/d/1amyIylszpkNk8lk2GLseObH3gvYo3xx9/edit
Promes | Kelas IX | Promes Matematika K-IX (Deep Learning).docx | https://docs.google.com/document/d/13K6JCeBK3NNhkapTt5fFJyl0QG43umqk/edit
Promes | Kelas VII | Promes Matematika K-VII (Deep Learning).docx | https://docs.google.com/document/d/14dfFS__AE8CGNEefYxvtaE9MkIv3iaTx/edit
Promes | Kelas VIII | Promes Matematika K-VIII (Deep Learning).docx | https://docs.google.com/document/d/1j-jbgB4QCNyqbuqTTNK07GG5xzVZc-Jw/edit
Prota | Kelas IX | Prota Matematika K-IX (Deep Learning).docx | https://docs.google.com/document/d/16rieYln0bxgcnRojXcOyqmZmp__eB_fA/edit
Prota | Kelas VII | Prota Matematika K-VII (Deep Learning).docx | https://docs.google.com/document/d/14KdhyHhjAl62LgLlRGW7NNfwbamwSZZM/edit
Prota | Kelas VIII | Prota Matematika K-VIII (Deep Learning).docx | https://docs.google.com/document/d/1wkoWGRGZrTCLctlOJ9l-h4xsq1909V5j/edit
