Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
VII,Ganjil,1,"Al-Qur’an dan Sunah sebagai Pedoman Hidup",15
VII,Ganjil,2,"Meneladan Nama dan Sifat Allah untuk Kebaikan Hidup",9
VII,Ganjil,3,"Menghadirkan Salat dan Zikir dalam Kehidupan",9
VII,Ganjil,4,"Mengagungkan Allah Swt. dengan Tunduk pada Perintah-Nya",12
VII,Ganjil,5,"Damaskus: Pusat Peradaban Timur Islam (661–750 M)",9
VII,Genap,6,"Alam Semesta sebagai Tanda Kekuasaan Allah Swt.",15
VII,Genap,7,"Mawas Diri dan Introspeksi dalam Menjalani Kehidupan",9
VII,Genap,8,"Menghindari Gibah dan Melaksanakan Tabayun",9
VII,Genap,9,"Rukhsah: Kemudahan dari Allah Swt. dalam Beribadah kepada-Nya",12
VII,Genap,10,"Andalusia: Kota Peradaban Islam di Barat (756–1031 M)",9
VIII,Ganjil,1,"Pelestarian Alam dan Lingkungan",9
VIII,Ganjil,2,"Mendalami Iman kepada Kitab-Kitab Allah Swt.",9
VIII,Ganjil,3,"Menjadi Pribadi yang Amanah dan Jujur",9
VIII,Ganjil,4,"Salat Gerhana, Salat Istisqa, dan Salat Jenazah",9
VIII,Ganjil,5,"Peradaban Islam pada Masa Daulah Abbasiyah",9
VIII,Genap,6,"Moderat dalam Beragama",9
VIII,Genap,7,"Beriman kepada Nabi dan Rasul",9
VIII,Genap,8,"Toleransi dan Menghadapi Perbedaan",9
VIII,Genap,9,"Praktik Jual Beli dan Utang Piutang serta Menghindari Riba",9
VIII,Genap,10,"Lahirnya Para Ilmuwan Muslim pada Masa Bani Abbasiyah",9
IX,Ganjil,1,"Al-Qur’an Menginspirasi: Meraih Kesuksesan dengan Semangat Mencari Ilmu",12
IX,Ganjil,2,"Meyakini Hari Akhir dengan Mawas Diri",12
IX,Ganjil,3,"Indahnya Etika Pergaulan dan Komunikasi Islami",12
IX,Ganjil,4,"Bersyukur dengan Akikah, Peduli Sesama dengan Berkurban",12
IX,Ganjil,5,"Mengapresiasi Peradaban Daulah Usmani",12
IX,Genap,6,"Al-Qur’an Menginspirasi: Menjadi Khalīfatullāh fil-Arḍ Penebar Kasih Sayang",12
IX,Genap,7,"Meraih Ketenangan Jiwa dengan Meyakini Qada dan Qadar",12
IX,Genap,8,"Dengan Seni Islami, Kehidupan Semakin Harmoni",12
IX,Genap,9,"Mengenal Imam Mazhab, Ibadah Semakin Mantap",12
IX,Genap,10,"Mengapresiasi Peradaban pada Masa Syafawi dan India Mughal",12
IX,Genap,11,"Sejarah Masuknya Islam di Indonesia",6
