SUMBER PENDIDIKAN AGAMA ISLAM DAN BUDI PEKERTI FASE D
https://drive.google.com/drive/folders/1s890dcfgPvJfKwcTR1-W5jBjisR3lc7B
CP | Kelas VII | Capaian Pembelajaran PAI BP K-VII CP 2026.docx | https://drive.google.com/file/d/1kX0uWj6pxlQTBBKVFPbJ_xLJPnvkps1s/view?usp=sharing
ATP | Kelas VII | Alur Tujuan Pembelajaran PAI BP K-VII CP 2026.docx | https://docs.google.com/document/d/154Qqgz_V7ThNrtesTXvfBmnVhhsm-olt/edit
PROTA | Kelas VII | Program Tahunan PAI BP K-VII CP 2026.docx | https://docs.google.com/document/d/1M7Im0XdtOFKxZaspw3j4uNPXE4VFoFdM/edit
PROMES | Kelas VII | Program Semester PAI BP K-VII CP 2026.docx | https://docs.google.com/document/d/13VzQrf_Bfpdq6xPZ8c82A1LVZ1Wo7F39/edit
KKTP | Kelas VII | KKTP PAI BP K-VII CP 2026.docx | https://docs.google.com/document/d/194j302MY1AI9ZUMHx2tuvEIw3Hjpum-t/edit
CP | Kelas VIII | Capaian Pembelajaran PAI BP K-VIII CP 2026.docx | https://drive.google.com/file/d/1kX0uWj6pxlQTBBKVFPbJ_xLJPnvkps1s/view?usp=sharing
ATP | Kelas VIII | Alur Tujuan Pembelajaran PAI BP K-VIII CP 2026.docx | https://docs.google.com/document/d/1X-SnkynfRvgH1-2i51yK5Myl56tlBcqu/edit
PROTA | Kelas VIII | Program Tahunan PAI BP K-VIII CP 2026.docx | https://docs.google.com/document/d/1Fzqxo-CfXMKoTtHT4R-n6kbtDnWiLyQC/edit
PROMES | Kelas VIII | Program Semester PAI BP K-VIII CP 2026.docx | https://docs.google.com/document/d/1Ey5gMUEij3i4N_-pRJ13e9q6rPYVfGCV/edit
KKTP | Kelas VIII | KKTP PAI BP K-VIII CP 2026.docx | https://docs.google.com/document/d/14ytezq9BmbB0ts2yNJQ9flaT15LAqE19/edit
CP | Kelas IX | Capaian Pembelajaran PAI BP K-IX CP 2026.docx | https://drive.google.com/file/d/1kX0uWj6pxlQTBBKVFPbJ_xLJPnvkps1s/view?usp=sharing
ATP | Kelas IX | Alur Tujuan Pembelajaran PAI BP K-IX CP 2026.docx | https://docs.google.com/document/d/1rDD8jNLkCF9l6RXCr7zEg07CnEU-J0jH/edit
PROTA | Kelas IX | Program Tahunan PAI BP K-IX CP 2026.docx | https://docs.google.com/document/d/1Qu2m0ZFDp1MXQcRbPUiyzWAguxwMvPOy/edit
PROMES | Kelas IX | Program Semester PAI BP K-IX CP 2026.docx | https://docs.google.com/document/d/1uoUzstRFR-9Lh-YmX7XycfA6O6mN6xM2/edit
KKTP | Kelas IX | KKTP PAI BP K-IX CP 2026.docx | https://docs.google.com/document/d/105AcrSMdH_0Q8mDWXiCW4QyQTVdb3GPC/edit
