Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
VII,Ganjil,1,"Sejarah Kelahiran Pancasila",18
VII,Ganjil,2,"Norma dan UUD NRI Tahun 1945",24
VII,Ganjil,3,"Kesatuan Indonesia dan Karakteristik Daerah",18
VII,Genap,4,"Kebinekaan Indonesia",24
VII,Genap,5,"Menghargai Lingkungan dan Budaya Lokal",18
VII,Genap,6,"Bekerja Sama dan Bergotong Royong",18
VIII,Ganjil,1,"Pancasila dalam Kehidupan Bangsaku",18
VIII,Ganjil,2,"Pedoman Negaraku",18
VIII,Ganjil,3,"Peraturan di Negaraku",18
VIII,Genap,4,"Melestarikan Budaya Bangsaku",24
VIII,Genap,5,"Merawat Keutuhan Bangsa dan Negaraku",24
IX,Ganjil,1,"Hubungan Pancasila dengan UUD NRI Tahun 1945, Bhinneka Tunggal Ika, dan NKRI",12
IX,Ganjil,2,"Hak dan Kewajiban Warga Negara",12
IX,Ganjil,3,"Kemerdekaan Berpendapat Warga Negara pada Era Keterbukaan Informasi",12
IX,Genap,4,"Menjaga dan Melestarikan Tradisi, Kearifan Lokal, serta Budaya dalam Masyarakat Global",16
IX,Genap,5,"Menjaga Keutuhan Wilayah Negara Kesatuan Republik Indonesia",16
