SUMBER PENDIDIKAN PANCASILA FASE D
https://drive.google.com/drive/folders/1aDVixkesNgg7412P1d8a_DN0Jtd4Tsf0
CP | Kelas VII | Capaian Pembelajaran Pendidikan Pancasila K-VII Fase D V1.docx | https://drive.google.com/file/d/1_hZuKZ2oWwgT9HXbe7ETEeYvpRT8eRAm/view
ATP | Kelas VII | Alur Tujuan Pembelajaran Pendidikan Pancasila K-VII V1.docx | https://drive.google.com/file/d/1aS4Kdj816ssKTrbgzZ6gJW14mn6ykptj/view
PROTA | Kelas VII | Program Tahunan Pendidikan Pancasila K-VII V1.docx | https://drive.google.com/file/d/1GSJTTKedrF4wJstfobESUY9er5neKmDX/view
PROMES | Kelas VII | Program Semester Pendidikan Pancasila K-VII V1.docx | https://drive.google.com/file/d/1QzX62s3kJz6IqnB5tj64dXF_OMcbUOEg/view
KKTP | Kelas VII | Kriteria Ketercapaian Tujuan Pembelajaran Pendidikan Pancasila K-VII V1.docx | https://drive.google.com/file/d/1sjQH_N2fy-Quh_sHzQgrL9fpNzL31K-a/view
CP | Kelas VIII | Capaian Pembelajaran Pendidikan Pancasila K-VIII Fase D V1.docx | https://drive.google.com/file/d/1cnbuj4umPbN51aavGJRLfSq9v4-0l88t/view
ATP | Kelas VIII | Alur Tujuan Pembelajaran Pendidikan Pancasila K-VIII V1.docx | https://drive.google.com/file/d/1eTbTkZzjIGsg5OTYW1yz16gv1HgV01Li/view
PROTA | Kelas VIII | Program Tahunan Pendidikan Pancasila K-VIII V1.docx | https://drive.google.com/file/d/1MPPKbxu8Bp1mP8_2LsZKXsWMrqUn-NVo/view
PROMES | Kelas VIII | Program Semester Pendidikan Pancasila K-VIII V1.docx | https://drive.google.com/file/d/1SlFHyHX_6YbfnTkOv_RKFotzi4kxif8y/view
KKTP | Kelas VIII | Kriteria Ketercapaian Tujuan Pembelajaran Pendidikan Pancasila K-VIII V1.docx | https://drive.google.com/file/d/1S6NuVPs3Wcj_wJ_XXyYFJTY6zTwVxoO9/view
CP | Kelas IX | Capaian Pembelajaran Pendidikan Pancasila K-IX Fase D V1.docx | https://drive.google.com/file/d/1k7tm8hOkz_jiVW8dTO5EDS6y4wYqzCbQ/view
ATP | Kelas IX | Alur Tujuan Pembelajaran Pendidikan Pancasila K-IX V1.docx | https://drive.google.com/file/d/1DMRZxnJqgp_PvYnJhLeqIsOIJ39qaZ2i/view
PROTA | Kelas IX | Program Tahunan Pendidikan Pancasila K-IX V1.docx | https://drive.google.com/file/d/1pZFWfryq9fUVZsNJU7292bNL4zxtKjub/view
PROMES | Kelas IX | Program Semester Pendidikan Pancasila K-IX V1.docx | https://drive.google.com/file/d/1Gcd9hfB7RpZkpOvFH-PsJ6b132G4KoZl/view
KKTP | Kelas IX | Kriteria Ketercapaian Tujuan Pembelajaran Pendidikan Pancasila K-IX V1.docx | https://drive.google.com/file/d/1jCkOjYqJk-cnMOrLcpZot4zVu1YFB4XC/view
