Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
VII,Ganjil,1,"Permainan Bola Basket",9
VII,Ganjil,2,"Permainan Bola Voli",9
VII,Ganjil,3,"Permainan Kasti",9
VII,Ganjil,4,"Aktivitas Bela Diri (Pencak Silat)",9
VII,Genap,5,"Atletik (Lari Jarak Pendek)",9
VII,Genap,6,"Aktivitas Senam Lantai",9
VII,Genap,7,"Aktivitas Gerak Berirama",9
VII,Genap,8.1,"Aktivitas Kebugaran untuk Kesehatan",6
VII,Genap,8.2,"Pola Makan Sehat, Bergizi, dan Seimbang",6
VIII,Ganjil,1,"Permainan Invasi (Bola Basket)",9
VIII,Ganjil,2,"Permainan Invasi (Bola Voli)",9
VIII,Ganjil,3,"Permainan Lapangan (Lompat Jauh)",6
VIII,Ganjil,4,"Permainan Lapangan (Beladiri Pencak Silat)",9
VIII,Genap,5,"Aktivitas Gerak Berirama",6
VIII,Genap,6,"Aktivitas Senam",6
VIII,Genap,7,"Aktivitas Kebugaran untuk Kesehatan",6
VIII,Genap,8,"Pengembangan Pola Hidup Sehat",6
IX,Ganjil,1,"Permainan Invasi (Permainan Sepak Bola)",9
IX,Ganjil,2,"Permainan Net (Permainan Bola Voli)",9
IX,Ganjil,3,"Bela Diri (Taekwondo)",6
IX,Ganjil,4,"Aktivitas Senam (Senam Lantai)",6
IX,Genap,5,"Aktivitas Gerak Berirama (Senam Aerobik)",6
IX,Genap,6,"Aktivitas Kebugaran untuk Kesehatan",9
IX,Genap,7,"Pengembangan Budaya Hidup Sehat",9
