SUMBER PENDIDIKAN JASMANI, OLAHRAGA, DAN KESEHATAN FASE D
https://drive.google.com/drive/folders/1njXe3opx0HvCv63B72yHSeAm19QGi_RB
CP | Kelas VII | Capaian Pembelajaran PJOK Kelas VII Fase D V1.docx | https://drive.google.com/file/d/1GkY4PMQoawPwKysQctgWdeUaSHYpBkcl/view
ATP | Kelas VII | Alur Tujuan Pembelajaran PJOK Kelas VII V1.docx | https://drive.google.com/file/d/1xqXFlK4QwL3dDPdfp6t_IMmc8gJA2HTD/view
PROTA | Kelas VII | Program Tahunan PJOK Kelas VII V1.docx | https://drive.google.com/file/d/1n-t6FhZmb05Gfen-Esa1Cr6GlTXBLCCx/view
PROMES | Kelas VII | Program Semester PJOK Kelas VII V1.docx | https://drive.google.com/file/d/15BLgQZ33OdjrCgGMJFGYR-xdkurl3Kta/view
KKTP | Kelas VII | Kriteria Ketercapaian Tujuan Pembelajaran PJOK Kelas VII V1.docx | https://drive.google.com/file/d/1mPaK1M2MFOYSTtanJ5rlPAewXAA-AjQT/view
CP | Kelas VIII | Capaian Pembelajaran PJOK Kelas VIII Fase D V1.docx | https://drive.google.com/file/d/1-vypS3Yg4zdwnBW144KfWiEjjVK9OI8j/view
ATP | Kelas VIII | Alur Tujuan Pembelajaran PJOK Kelas VIII V1.docx | https://drive.google.com/file/d/1kXHiCdUbQ8aejOtRZOcfrff13CvsBNC2/view
PROTA | Kelas VIII | Program Tahunan PJOK Kelas VIII V1.docx | https://drive.google.com/file/d/1b4hXlCG8W-I2hjD0NVFWcqszOonjZe4f/view
PROMES | Kelas VIII | Program Semester PJOK Kelas VIII V1.docx | https://drive.google.com/file/d/1gNlSJsbtKKc4tr4j0Rf3Kne0AKjRmyqm/view
KKTP | Kelas VIII | Kriteria Ketercapaian Tujuan Pembelajaran PJOK Kelas VIII V1.docx | https://drive.google.com/file/d/1KVXj_2A_BxJodfu541NZ3cbyuUral1wu/view
CP | Kelas IX | Capaian Pembelajaran PJOK Kelas IX Fase D V1.docx | https://drive.google.com/file/d/10ager-5nIcj-cm_8AEX_zfX7n8WTLSEL/view
ATP | Kelas IX | Alur Tujuan Pembelajaran PJOK Kelas IX V1.docx | https://drive.google.com/file/d/1pNf4FljqyPNSfAvtuUs_1kQidccZWFvU/view
PROTA | Kelas IX | Program Tahunan PJOK Kelas IX V1.docx | https://drive.google.com/file/d/1IeIqhD7MwEDERQvKNcpuLowW9gZqkxyZ/view
PROMES | Kelas IX | Program Semester PJOK Kelas IX V1.docx | https://drive.google.com/file/d/1fk7cyykUTkZNJY84k3jA-QEuwWqqN3Yz/view
KKTP | Kelas IX | Kriteria Ketercapaian Tujuan Pembelajaran PJOK Kelas IX V1.docx | https://drive.google.com/file/d/1Tu-mFQfNmbFKGgJaCAlKfniFSAq1ohuo/view
