Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
VII,Ganjil,1,"Kerajinan — Produk Kerajinan Bahan Alam Lunak",8
VII,Ganjil,2,"Kerajinan — Produk Kerajinan Bahan Alam Semikeras/Keras",8
VII,Genap,3,"Kerajinan — Produk Kerajinan Bahan Buatan Lunak",8
VII,Genap,4,"Kerajinan — Produk Kerajinan Bahan Buatan Semikeras/Keras",8
VII,Ganjil,5,"Rekayasa — Miniatur Rumah Tahan Gempa",8
VII,Ganjil,6,"Rekayasa — Miniatur Rumah Burung Walet",8
VII,Genap,7,"Rekayasa — Miniatur Jembatan Gantung",8
VII,Genap,8,"Rekayasa — Miniatur Dongkrak Hidrolik",8
VII,Ganjil,9,"Budi Daya — Budi Daya Tanaman Sayur",8
VII,Ganjil,10,"Budi Daya — Budi Daya Ikan Konsumsi Air Tawar",8
VII,Genap,11,"Budi Daya — Budi Daya Ternak Unggas Pedaging",8
VII,Ganjil,12,"Pengolahan — Aneka Produk Pangan Buah",8
VII,Ganjil,13,"Pengolahan — Bahan Nonpangan Buah: Suburnya Tanaman",8
VII,Genap,14,"Pengolahan — Sayur Baik bagi Kesehatan",8
VII,Genap,15,"Pengolahan — Bahan Nonpangan Sayur: Perawatan Diri",8
VIII,Ganjil,1,"Kerajinan — Mengenal Ruang Lingkup Produk Kerajinan Limbah Organik",8
VIII,Ganjil,2,"Kerajinan — Membuat Produk Kerajinan dari Limbah Organik",8
VIII,Ganjil,3,"Kerajinan — Mengapresiasi Produk Kerajinan Limbah Organik",8
VIII,Genap,4,"Kerajinan — Mengenal Ruang Lingkup Produk Kerajinan Limbah Anorganik",8
VIII,Genap,5,"Kerajinan — Membuat Produk Kerajinan dari Limbah Anorganik",8
VIII,Genap,6,"Kerajinan — Mengapresiasi Produk Kerajinan Limbah Anorganik",8
VIII,Ganjil,7,"Rekayasa — Lampu Penerangan Rumah Sederhana Berbasis Semi-Otomatis",8
VIII,Ganjil,8,"Rekayasa — Alat Penetas Telur Berbasis Semi-Otomatis",8
VIII,Genap,9,"Rekayasa — Alat Pengatur Ketinggian Air Berbasis Semi-Otomatis",8
VIII,Genap,10,"Rekayasa — Alat Alarm Pintu Berbasis Semi-Otomatis",8
VIII,Ganjil,11,"Budi Daya — Tanaman Berkhasiat Obat",8
VIII,Ganjil,12,"Budi Daya — Budi Daya Ikan Hias",8
VIII,Genap,13,"Budi Daya — Budi Daya Satwa Harapan",8
VIII,Ganjil,14,"Pengolahan — Mengenal Serealia dan Umbi-Umbian",8
VIII,Ganjil,15,"Pengolahan — Persiapan Modifikasi Produk Olahan Pangan dan Nonpangan",8
VIII,Ganjil,16,"Pengolahan — Merencanakan Produk Kreatif",8
VIII,Genap,17,"Pengolahan — Pengolahan Produk Kreatif Serealia",8
VIII,Genap,18,"Pengolahan — Pengolahan Produk Kreatif Umbi",8
VIII,Genap,19,"Pengolahan — Pameran dan Bazar Produk Modifikasi Serealia dan Umbi",8
IX,Ganjil,1,"Kerajinan — Mengenal Tekstil dan Produk Kerajinan Tekstil Bahan Alam",8
IX,Ganjil,2,"Kerajinan — Membuat Produk Kerajinan Tekstil dari Bahan Alam",8
IX,Ganjil,3,"Kerajinan — Mengenal Produk Kerajinan Tekstil Bahan Sintetis",8
IX,Genap,4,"Kerajinan — Membuat Produk Kerajinan Tekstil dari Bahan Sintetis",8
IX,Genap,5,"Kerajinan — Mengapresiasi Produk Kerajinan Bahan Tekstil Alam dan Sintetis",8
IX,Ganjil,6,"Rekayasa — Membuat Lampu Otomatis",8
IX,Ganjil,7,"Rekayasa — Alat Pengatur Suhu Penetas Telur",8
IX,Genap,8,"Rekayasa — Alat Pendeteksi Banjir",8
IX,Genap,9,"Rekayasa — Alat Pendeteksi Kebakaran",8
IX,Ganjil,10,"Budi Daya — Mudah Menanam Sayuran Hidroponik",8
IX,Ganjil,11,"Budi Daya — Pemeliharaan Ikan Sistem Bioflok",8
IX,Genap,12,"Budi Daya — Budi Daya Ternak Semiintensif",8
IX,Ganjil,13,"Pengolahan — Pengolahan Pangan Hewani Daging dan Ikan dalam Hidangan",8
IX,Ganjil,14,"Pengolahan — Pengolahan Daging dan Ikan Menjadi Produk Setengah Jadi",8
IX,Ganjil,15,"Pengolahan — Kewirausahaan Produk Pangan Kreatif Berbahan Daging dan Ikan",8
IX,Genap,16,"Pengolahan — Pengolahan Hasil Samping Daging dan Ikan Menjadi Produk Pangan dan Nonpangan",8
IX,Genap,17,"Pengolahan — Produk Pangan Kreatif Daging dan Ikan Berbasis Potensi Lokal",8
IX,Genap,18,"Pengolahan — Pameran dan Bazar Produk Pangan Kreatif dan Siap Jual dari Daging dan Ikan",8
