SUMBER PRAKARYA FASE D
https://drive.google.com/drive/folders/1yJi13wHwUZ8MJUCI8ZYve0TojzjFSs2C
CP | Kelas VII | Capaian Pembelajaran Prakarya Fase D | 
Buku Panduan Guru | Kelas VII | Prakarya-Kerajinan-BG-KLS-VII.pdf | https://drive.google.com/file/d/17QdyqknU2zdJ6MT5gg6W41iOWjDoWe6G/view?usp=drivesdk
Buku Panduan Guru | Kelas VII | Prakarya-Rekayasa-BG-KLS-VII.pdf | https://drive.google.com/file/d/14YrpD4Sk6ijWcdItvpGjZoQ-br1x167p/view?usp=drivesdk
Buku Panduan Guru | Kelas VII | Prakarya-Budi-Daya-BG-KLS-VII.pdf | https://drive.google.com/file/d/1ba0M9aUHqj3uaXDyUOAVmOjblgW0ptwJ/view?usp=drivesdk
Buku Panduan Guru | Kelas VII | Prakarya-Pengolahan-BG-KLS-VII.pdf | https://drive.google.com/file/d/1q7nSknd7n6vJJmL9ThADaiFcuNq0qi65/view?usp=drivesdk
Buku Panduan Guru | Kelas VIII | Prakarya-Kerajinan-BG-KLS-VIII.pdf | https://drive.google.com/file/d/1ZDdItHtd8IQUZFFp_JBrnnYcqYOo-vj0/view?usp=drivesdk
Buku Panduan Guru | Kelas VIII | Prakarya-Rekayasa-BG-KLS-VIII.pdf | https://drive.google.com/file/d/1Jk1izBF6r65IyzysprSNLi5hjjbv4w7d/view?usp=drivesdk
Buku Panduan Guru | Kelas VIII | Prakarya-Budidaya-BG-KLS-VIII.pdf | https://drive.google.com/file/d/17NNRxBbsQDQ-PyTXxpNfRQpLhgYz7qv6/view?usp=drivesdk
Buku Panduan Guru | Kelas VIII | Prakarya-Pengolahan-BG-KLS-VIII.pdf | https://drive.google.com/file/d/1pETl__EnYJNtOkZ1DXVnPflH8YLpmQvj/view?usp=drivesdk
Buku Panduan Guru | Kelas IX | Prakarya_Kerajinan_BG_KLS_IX.pdf | https://drive.google.com/file/d/1AgSr3wkVF0swMjtTSKJ0pJr37okaOCN9/view?usp=drivesdk
Buku Panduan Guru | Kelas IX | Prakarya_Rekayasa_BG_KLS_IX.pdf | https://drive.google.com/file/d/1XkrLAfLDN27a3u7o8NegkpqUSzyqu69w/view?usp=drivesdk
Buku Panduan Guru | Kelas IX | Prakarya_Budidaya_BG_KLS_IX.pdf | https://drive.google.com/file/d/1BEZ3cTXxXuggf7RKghizIZ5kKgX7UxQI/view?usp=drivesdk
Buku Panduan Guru | Kelas IX | Prakarya_Pengolahan_BG_KLS_IX.pdf | https://drive.google.com/file/d/1J5IEtG0v-7LoJzCSsi3CymenLG-62m2o/view?usp=drivesdk
