Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
VII,Ganjil,1,"Bernyanyi Solo",16
VII,Ganjil,2,"Bermain Alat Musik Sederhana",16
VII,Genap,3,"Bernyanyi Bersama",16
VII,Genap,4,"Bermain Ansambel",16
VIII,Ganjil,1,"Lukisan Tanah Airku",16
VIII,Ganjil,2,"Alat Musik Tradisional",12
VIII,Genap,3,"Musik Mancanegara Asia",12
VIII,Genap,4,"Pergelaran Musik Mancanegara",8
IX,Ganjil,1,"Bernyanyi dan Membuat Kreasi Sederhana",12
IX,Ganjil,2,"Menganalisis Lagu",8
IX,Ganjil,3,"Penyajian Musik",12
IX,Genap,4,"Dokumentasi Musik",12
IX,Genap,5,"Membuat Lagu",12
IX,Genap,6,"Apresiasi Musik",12
