Kelas,Semester,Bab,Lingkup Materi,Alokasi JP
VII,Ganjil,1,"Menggambar",18
VII,Ganjil,2,"Mendesain",10
VII,Ganjil,3,"Membuat Tipografi dan Logo",10
VII,Genap,4,"Berkarya Seni untuk Perubahan",34
VIII,Ganjil,1,"Belajar Seni dari Alam",6
VIII,Ganjil,2,"Berkreasi Seni Dua Dimensi",24
VIII,Ganjil,3,"Berkreasi Seni Tiga Dimensi",12
VIII,Genap,4,"Berkarya Seni Rupa untuk Lingkungan",22
VIII,Genap,5,"Mengenal Lukisan Pemandangan Alam",8
IX,Ganjil,1,"Menggambar",16
IX,Ganjil,2,"Mendesain",16
IX,Genap,3,"Mengapresiasi",16
IX,Genap,4,"Unjuk Kerja dan Pameran",16
