SUMBER SENI RUPA FASE D
https://drive.google.com/drive/folders/1qY4ATJ7bL05gC8ABDfe0D_tgQAAi1vcW
CP | Kelas VII | Capaian Pembelajaran Seni Rupa Kelas VII Fase D V1.docx | https://drive.google.com/file/d/1_086Thj1iWpJ2ivrkMSmUEw9zAFeGfXv/view
ATP | Kelas VII | Alur Tujuan Pembelajaran Seni Rupa Kelas VII V1.docx | https://drive.google.com/file/d/1GLGlk_-UxVAzw0tGfhSjKomidW0JqLXK/view
PROTA | Kelas VII | Program Tahunan Seni Rupa Kelas VII V1.docx | https://drive.google.com/file/d/16GgOkwZ0HUHlwulgS-EwyDnC-dMFbH4k/view
PROMES | Kelas VII | Program Semester Seni Rupa Kelas VII V1.docx | https://drive.google.com/file/d/1bwF-J-yAzNMi0yno-2Uq4vx2Lg8Wag3b/view
KKTP | Kelas VII | KKTP Seni Rupa Kelas VII V1.docx | https://drive.google.com/file/d/1HRGoB3UkXjfXHc-xsdE1z4Y5I54uQn0H/view
CP | Kelas VIII | Capaian Pembelajaran Seni Rupa Kelas VIII Fase D V1.docx | https://drive.google.com/file/d/1Yn6v1zTI8c1ToX3alXmRmUObB-9MT-xI/view
ATP | Kelas VIII | Alur Tujuan Pembelajaran Seni Rupa Kelas VIII V1.docx | https://drive.google.com/file/d/1zbzSzP9PLSsN_6bg4evVFmBUflq5pGlt/view
PROTA | Kelas VIII | Program Tahunan Seni Rupa Kelas VIII V1.docx | https://drive.google.com/file/d/1h3cjvXkyhvA1xZPXL2FVdGXHC2TVtEXP/view
PROMES | Kelas VIII | Program Semester Seni Rupa Kelas VIII V1.docx | https://drive.google.com/file/d/1gC8_8bhBnU8ZF86QB6zL3oAsFS3_ktpu/view
KKTP | Kelas VIII | KKTP Seni Rupa Kelas VIII V1.docx | https://drive.google.com/file/d/13JnxVMvVQs4lds3Yb0VoAH2TTbbJkjbx/view
CP | Kelas IX | Capaian Pembelajaran Seni Rupa Kelas IX Fase D V1.docx | https://drive.google.com/file/d/1crCSJI1LNWoyYlpAkjygml0EQ6g7eNvj/view
ATP | Kelas IX | Alur Tujuan Pembelajaran Seni Rupa Kelas IX V1.docx | https://drive.google.com/file/d/1ciB0zcD2SEK4_e8wpT8-YCPw5eN0CKPj/view
PROTA | Kelas IX | Program Tahunan Seni Rupa Kelas IX V1.docx | https://drive.google.com/file/d/1AnayBsPhxL29QHvM_rzHPhqZ5-xajddW/view
PROMES | Kelas IX | Program Semester Seni Rupa Kelas IX V1.docx | https://drive.google.com/file/d/1kqQaInZZeiycsMuOYS6J3wftEH6QYDIo/view
KKTP | Kelas IX | KKTP Seni Rupa Kelas IX V1.docx | https://drive.google.com/file/d/1x_I45AJWHUl-fDPDUwdixGh0chx1tMWv/view
BUKU REVISI | Kelas VII | Seni_Rupa_BG_KLS_VII_Rev.pdf | https://drive.google.com/file/d/1J04OD1xYWFM83PLrWo3qJoI_oikLhvcp/view
BUKU REVISI | Kelas VIII | Seni_Rupa_BG_KLS_VIII_Rev.pdf | https://drive.google.com/file/d/1TRGIV_OWMmYBY5DGb6lVxPpXVYYMZiHi/view
BUKU | Kelas IX | Seni-Rupa-BG-KLS-IX.pdf | https://drive.google.com/file/d/1dl0tCxEtjl6aXchlt1fEPH3uqE0f5Kij/view
KEBIJAKAN | Kelas VII | #Capaian Pembelajaran 2026.pdf | https://drive.google.com/file/d/1kX0uWj6pxlQTBBKVFPbJ_xLJPnvkps1s/view
REFERENSI MODUL | Kelas VIII | Modul Ajar 1 Seni Rupa K-VIII (Deep Learning).docx | https://drive.google.com/file/d/1kJooZaVi6Bu9HoWuJOEc_g0_i5SpkkvR/view
REFERENSI MODUL | Kelas VIII | Modul Ajar 2 Seni Rupa K-VIII (Deep Learning).docx | https://drive.google.com/file/d/1RBZs8syW-sXT4rQPcKDLn3iNnUb-Trcu/view
REFERENSI MODUL | Kelas VIII | Modul Ajar 3 Seni Rupa K-VIII (Deep Learning).docx | https://drive.google.com/file/d/16k1Fr98mj0BTuS3ylPwm2ADL5IrKHhYt/view
REFERENSI MODUL | Kelas VIII | Modul Ajar 4 Seni Rupa K-VIII (Deep Learning).docx | https://drive.google.com/file/d/1_SbMvRw9u7cDfwzBS2Ajq6RGnheO5v0i/view
