"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"X","Ganjil","1","Menganalisis perbedaan virus dengan makhluk hidup.","2"
"X","Ganjil","2","Menganalisis kondisi terjadinya siklus litik dan lisogenik.","2"
"X","Ganjil","3","Menganalisis penggunaan virus dalam bioteknologi modern (rekayasa genetika).","1"
"X","Ganjil","4","Mengkampanyekan solusi cara pencegahan penyebaran virus tertentu.","1"
"X","Ganjil","5","Merumuskan upaya pelestarian keanekaragaman hayati.","4"
"X","Ganjil","6","Mendeskripsikan kingdom monera, protista, fungi, plantae dan animalia.","4"
"X","Genap","7","Mengkampanyekan hasil Proyek","3"
"X","Genap","8","Menganalisis keterkaitan el niño dan la niña bagi Indonesia.","4"
"X","Genap","9","Menganalisis hubungan antara proses pembakaran dengan efek rumah kaca.","2"
"X","Genap","10","Menganalisis keterkaitan antara pembalakan liar, alih fungsi lahan, penggunaan CFC dan pembakaran bahan bakar fosil dengan peningkatan suhu bumi.","2"
"X","Genap","11","Mengkampanyekan hasil Proyek.","4"
