"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"X","Ganjil","1","Menentukan dimensi dari suatu besaran turunan.","4"
"X","Ganjil","2","Menuliskan hasil pengukuran dengan menggunakan aturan penulisan notasi ilmiah.","2"
"X","Ganjil","3","Merancang percobaan untuk menyelidiki suatu kasus terkait pengukuran.","2"
"X","Ganjil","4","Menganalisis bentuk energi yang terlibat pada penerapannya dalam kehidupan sehari-hari.","2"
"X","Ganjil","5","Menemukan masalah ketersediaan energi yang ada di lingkungan sekitar tempat tinggal.","2"
"X","Genap","6","Merencanakan rancangan pembuatan alat atau prototipe penghasil energi sederhana sebagai solusi masalah ketersediaan energi.","4"
"X","Genap","7","Menganalisis keterkaitan el niño dan la niña bagi Indonesia.","4"
"X","Genap","8","Menganalisis hubungan antara proses pembakaran dengan efek rumah kaca.","2"
"X","Genap","9","Menganalisis keterkaitan antara pembalakan liar, alih fungsi lahan, penggunaan CFC dan pembakaran bahan bakar fosil dengan peningkatan suhu bumi.","2"
"X","Genap","10","Mengkampanyekan hasil Proyek.","4"
