"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"X","Ganjil","1","Meraih Kesuksesan dengan Kompetisi dalam Kebaikan dan Etos Kerja","11"
"X","Ganjil","2","Memahami Hakikat dan Mewujudkan Ketauhidan dengan Syuabul Iman (cabang-cabang iman)","11"
"X","Ganjil","3","Menjalani Hidup Penuh Manfaat dengan Menghindari Berfoya-foya, Riya’, Sum’ah, Takabbur, dan Hasad","11"
"X","Ganjil","4","Asuransi, Bank, dan Koperasi Syariah untuk Perekonomian Umat dan Bisnis yang Maslahah","11"
"X","Ganjil","5","Meneladani Peran Ulama Penyebar Ajaran Islam di Indonesia","11"
"X","Genap","6","Menjauhi Pergaulan Bebas dan Perbuatan Zina untuk Melindungi Harkat dan Martabat Manusia","11"
"X","Genap","7","Hakikat Mencintai Allah Swt., Khauf, Raja’, dan Tawakal","11"
"X","Genap","8","Menghindari Akhlak Madzmumah dan Membiasakan Akhlak Mahmudah Agar Hidup Nyaman dan Berkah","11"
"X","Genap","9","Menerapkan al-Kulliyatu al-Khamsah dalam Kehidupan Sehari-har","10"
"X","Genap","10","Peran Tokoh Ulama dalam Penyebaran Islam di Indonesia (Metode Dakwah Islam oleh Wali Songo di Tanah Jawa)","10"
