"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"X","Ganjil","1","Kerajinan Unit 1 - Ragam Hias Nusantara Pada Produk Fesyen","14"
"X","Ganjil","2","Kerajinan Unit 2 - Produk Aksesoris Interior Nusantara","14"
"X","Ganjil","3","Kerajinan Unit 3 - Produk Aksesoris Eksterior dengan Memanfaatkan Bahan Lokal","14"
"X","Ganjil","4","Rekayasa Unit 1 Lampu Sensor Suara","14"
"X","Ganjil","5","Rekayasa Unit 2 Alat Pendeteksi Hujan","14"
"X","Ganjil","6","Rekayasa Unit 3 Alat Penyiram Tanaman Otomatis","14"
"X","Genap","7","Rekayasa Unit 4 Alat Pakan Otomatis","14"
"X","Genap","8","Pengolahan Unit 1 Bahan Pangan Nabati Lebih Sehat dan Ramah","14"
"X","Genap","9","Pengolahan Unit 2 Wangi Alami dengan Pangan Nabati","14"
"X","Genap","10","Pengolahan Unit 3 Bahan Pangan Hewani Lezat dan Bergizi","14"
"X","Genap","11","Pengolahan Unit 4 Ayo Manfaatkan Bahan Nonpangan Hewani","13"
