"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"X","Ganjil","1","Seni Musik Unit 1 Eksplorasi Bunyi dalam Musik","8"
"X","Ganjil","2","Seni Musik Unit 2 Eksplorasi Bentuk Struktur dan Genre Musik","8"
"X","Ganjil","3","Seni Musik Unit 3 Menciptakan Lagu Sederhana","8"
"X","Ganjil","4","Seni Musik Unit 4 Manajemen Musik","8"
"X","Ganjil","5","Seni Musik Unit 5 Apresiasi Musik","8"
"X","Ganjil","6","Pengenalan Seni Rupa di Sekitar Kita","8"
"X","Ganjil","7","Mengamati dan Mendeskripsikan Karya Seni Rupa","8"
"X","Ganjil","8","Pengenalan Bahan dan Aneka Teknik Berkarya","8"
"X","Ganjil","9","Konsep Eksplorasi dan Eksperimentasi Karya Seni Rupa","8"
"X","Ganjil","10","Kreasi Karya Seni Rupa Dua Dimensi","8"
"X","Ganjil","11","Merekam Pengalaman, Proses Kreatif, dan Referensi Karyanya Dalam Jurnal Visual","8"
"X","Ganjil","12","Aplikasi Seni dan Desain Dalam Kehidupan Sehari-Hari","8"
"X","Genap","13","Membuat Mockupprototipesketsa Awal","8"
"X","Genap","14","Model Pembelajaran Seni Terpadu","8"
"X","Genap","15","Publikasi Karya Seni Rupa","8"
"X","Genap","16","Selisik Teater","7"
"X","Genap","17","Mencipta Lakon","7"
"X","Genap","18","Persiapan Seorang Aktor","7"
"X","Genap","19","Mempersiapkan Pementasan","7"
"X","Genap","20","Berkenalan Dengan Makna Tari","7"
"X","Genap","21","Menafsirkan Makna Tari","7"
"X","Genap","22","Berkreasi Tari dari Karya Seni Bnetuk Lain","7"
"X","Genap","23","Pementasan Tari","7"
