"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Mengenalkan dan Mempromosikan Produk Pangan Lokal Indonesia","6"
"XI","Ganjil","2","Menyajikan Berita Inovasi yang Menghibur","6"
"XI","Ganjil","3","Menggali Nilai Sejarah Bangsa lewat Cerita Pendek","6"
"XI","Genap","4","Menulis Puisi yang Menginspirasi Adanya Kesempatan untuk Semua","6"
"XI","Genap","5","Mengenal Keberagaman Indonesia lewat Pertunjukan Drama","6"
"XI","Genap","6","Berperan dalam Konservasi Alam Indonesia lewat Karya Ilmiah","6"
"XII","Ganjil","1","Mengkritisi Informasi Dari Berbagai Sumber","16"
"XII","Ganjil","2","Mempresentasikan Ide Kewirausahaan","14"
"XII","Ganjil","3","Memahami Dan Mendiskusikan Fenomena Kecerdasan Buatan","14"
"XII","Genap","4","Menyampaikan Opini Tentang Perundungan","16"
"XII","Genap","5","Mengungkapkan Kekaguman Dalam Narasi Kearifan Lokal","14"
"XII","Genap","6","Menulis Praktik Baik Dan Cerita Tentang Lingkungan","16"
