"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Mempelajari teks naratif melalui kegiatan menyimak, membaca, menulis dan berbicara tentang topik-topik terkait konteks peserta didik dan isu-isu penting lainnya, seperti: kesadaran lingkungan, pengorbanan, dan kejujuran serta kepercayaan.","8"
"XI","Ganjil","2","Peserta didik mempelajari teks naratif melalui kegiatan menyimak, membaca, menulis dan berbicara tentang topik-topik sesuai dengan konteks peserta didik dan isu-isu penting lainnya, seperti: konsep diri, kesehatan mental, kecerdikan dan tindakan benar-salah.","8"
"XI","Ganjil","3","Peserta didik mempelajari teks naratif melalui kegiatan menyimak, membaca, menulis dan berbicara tentang topik-topik terkait konteks peserta didik dan isu-isu penting lainnya, seperti: kepercayaan dan kejujuran serta keberanian.","8"
"XI","Genap","4","Peserta didik mempelajari teks eksposisi analitis melalui kegiatan menyimak, membaca, menulis dan berbicara tentang topik-topik terkait konteks peserta didik dan isu-isu penting lainnya, seperti: masalah sosial yakni penutupan perpustakaan umum, masalah terkait kesehatan yakni vaksin untuk mencegah penularan virus Covid-19, dan masalah lingkungan.","8"
"XI","Genap","5","Peserta didik mempelajari teks eksposisi hortatorik melalui kegiatan menyimak, membaca, menulis dan berbicara tentang topik-topik terkait konteks peserta didik dan isu-isu penting lainnya, seperti: masalah sosial yakni penggunaan laptop untuk anak sekolah di kelas, masalah terkait kesehatan yakni nutrisi yang bagus untuk kesehatan, dan masalah keamanan digital yakni keamanan internet.","8"
"XII","Ganjil","1","Digging The Hidden Gem Of Borneo (Kalimantan)","2"
"XII","Ganjil","2","Connected To Social Media","2"
"XII","Ganjil","3","Get In Touch With Nature","2"
"XII","Genap","4","Future Method Of Payment","2"
"XII","Genap","5","Today’S Life","2"
