"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Pengamatan Struktur Sel, Keterkaitan antara Struktur dan Fungsi Sel; Komposisi Sel","6"
"XI","Ganjil","2","Transpor aktif; Transpor Pasif","6"
"XI","Ganjil","3","Jaringan, Organ, dan Sistem Organ; Transpor pada Tumbuhan; Reproduksi pada Tumbuhan; Iritabilitas pada Tumbuhan","6"
"XI","Ganjil","4","Struktur Tubuh untuk Pertukaran dan Transpor Zat; Proses Pertukaran dan Transpor Zat; Kelainan pada Pertukaran dan Transpor Zat.","6"
"XI","Genap","5","Sistem Pertahanan Eksternal dan Internal; Komponen Sistem Pertahanan Tubuh; Imunitas Tubuh dan Kelainannya","6"
"XI","Genap","6","Struktur dan Fungsi pada Sistem Saraf; Struktur, Fungsi, dan Kelainan serta Gangguan pada Sistem Gerak; Fenomena dan Keterkaitan Sistem Saraf dengan Sistem Gerak Manusia","6"
"XI","Genap","7","Keterkaitan Struktur dan Fungsi Kelenjar Hormon dalam Reproduksi; Keterkaitan Struktur Organ pada Sistem Reproduksi","6"
"XI","Genap","8","Fenomena Pertumbuhan dan Perkembangan; Faktor yang Memengaruhi Pertumbuhan dan Perkembangan Makhluk Hidup","6"
"XII","Ganjil","1","Enzim Dan Metabolisme","22"
"XII","Ganjil","2","Genetik Dan Pewarisan Sifat","42"
"XII","Genap","3","Teori Evolusi","20"
"XII","Genap","4","Inovasi Bioteknologi","20"
