"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Vektor","6"
"XI","Ganjil","2","Kinematika","6"
"XI","Ganjil","3","Dinamika Gerak Partikel","6"
"XI","Ganjil","4","Fluida","6"
"XI","Genap","5","Gelombang, Bunyi dan Cahaya","6"
"XI","Genap","6","Suhu dan Kalor","6"
"XI","Genap","7","Termodinamika","6"
"XII","Ganjil","1","Listrik Statis","18"
"XII","Ganjil","2","Listrik Arus Searah","17"
"XII","Ganjil","3","Kemagnetan","20"
"XII","Ganjil","4","Arus Bolak-Balik","20"
"XII","Ganjil","5","Gelombang Elektromagnetik","15"
"XII","Genap","6","Pengantar Instrumental Digital","7"
"XII","Genap","7","Relativitas","12"
"XII","Genap","8","Gejala Kuantum","14"
"XII","Genap","9","Fisika Inti Dan Radioaktivitas","12"
