"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Tentang Informatika","6"
"XI","Ganjil","2","Strategi Algoritma dan Pemograman","6"
"XI","Ganjil","3","Berpikir Kritis dan Dampak Sosial Informatika","6"
"XI","Genap","4","Jaringan Komputer dan Internet","6"
"XI","Genap","5","Pengembangan Aplikasi Mobile dengan Library Kecerdasan Artifisial","6"
"XI","Genap","6","Proyek Analisis Data Hutanku Dulu, Kini, dan yang Akan Datang","6"
"XII","Ganjil","1","Informatika Sekarang Dan Masa Depan","2"
"XII","Ganjil","2","Sistem Komputer","2"
"XII","Ganjil","3","Berpikir Komputasional Dan Algoritma","2"
"XII","Genap","4","Jaringan Komputer Dan Internet","2"
"XII","Genap","5","Dampak Sosial Informatika","2"
"XII","Genap","6","Praktik Lintas Bidang","2"
