"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Struktur Atom dan Sistem Periodik Unsur","6"
"XI","Ganjil","2","Ikatan Kimia","6"
"XI","Ganjil","3","Stoikiometri","6"
"XI","Ganjil","4","Hidrokarbon","6"
"XI","Genap","5","Termokimia","6"
"XI","Genap","6","Kinetika Kimia","6"
"XI","Genap","7","Kesetimbangan Kimia","6"
"XII","Ganjil","1","Larutan Dan Koloid","2"
"XII","Ganjil","2","Elektrokimia","2"
"XII","Genap","3","Gugus Fungsi Dalam Senyawa Karbon","2"
"XII","Genap","4","Makromolekul Organik","2"
