"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Komposisi fungsi dan fungsi invers","8"
"XI","Ganjil","2","11.1.6 Peserta didik menggunakan komposisi fungsi untuk menyelesaikan masalah.","8"
"XI","Ganjil","3","11.1.8 Peserta didik menggunakan fungsi invers untuk menyelesaikan masalah","8"
"XI","Ganjil","4","Lingkaran","8"
"XI","Ganjil","5","11.2.5 Peserta didik menemukan sifat-sifat garis singgung pada lingkaran","8"
"XI","Genap","6","11.2.7 Peserta didik membuktikan teorema yang berhubungan dengan lingkaran dan tali busur","8"
"XI","Genap","7","Statistika","8"
"XI","Genap","8","11.3.7 Peserta didik mampu menerapkan interpolasi dan ekstrapolasi data berdasarkan suatu persamaan garis regresi linear","8"
"XI","Genap","9","11.3.9 Peserta didik mampu menginterpretasikan nilai korelasi product moment dan koefisien determinasi dalam proses analisis regresi linear","8"
"XII","Ganjil","1","Transformasi Fungsi","2"
"XII","Ganjil","2","Busur Dan Juring Lingkaran","2"
"XII","Genap","3","Kombinatorik","2"
