"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Membiasakan Berpikir Kritis dan Semangat Mencintai IPTEK","4"
"XI","Ganjil","2","Bukti Beriman Memenuhi Janji, Mensyukuri Nikmat, Memelihara Lisan, Menutupi Aib Orang LAIN","4"
"XI","Ganjil","3","Menghindari Perkelahian Pelajar, Minuman Keras, dan Narkoba","4"
"XI","Ganjil","4","Menebarkan Islam dengan Santun dan Damai melalui Dakwah, Khutbah, dan Tablig","4"
"XI","Ganjil","5","Meneladani Jejak Langkah Ulama Indonesia yang Mendunia","4"
"XI","Genap","6","Menguatkan Kerukunan Melalui Toleransi dan Memelihara Kehidupan Manusia","4"
"XI","Genap","7","Menguatkan Iman dengan Menjaga Kehormatan, Ikhlas, Malu, dan Zuhud","4"
"XI","Genap","8","Adab Menggunakan Media Sosial","4"
"XI","Genap","9","Ketentuan Pernikahan dalam Islam","4"
"XI","Genap","10","Peradaban Islam pada Masa Modern","4"
"XII","Ganjil","1","Sabar Dalam Musibah Dan Ujian","2"
"XII","Ganjil","2","Indahnya Kehidupan Bermakna","2"
"XII","Ganjil","3","Munafik Dan Keras Hati Tak Akan Pernah Maju","2"
"XII","Ganjil","4","Kewarisan Dan Kearifan Dalam Islam","2"
"XII","Ganjil","5","Perkembangan Peradaban Islam Di Dunia","2"
"XII","Genap","6","Cinta Tanah Air Dan Moderasi Beragama","2"
"XII","Genap","7","Ilmu Kalam","2"
"XII","Genap","8","Sikap Inovatif Dan Etika Dalam Berorganisasi","2"
"XII","Genap","9","Ijtihad","2"
"XII","Genap","10","Peran Organisasi Islam Di Indonesia","2"
