"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Menjiwai Pancasila","16"
"XI","Ganjil","2","Demokrasi Berdasarkan UUD NRI Tahun 1945","16"
"XI","Genap","3","Harmoni dalam Keberagaman","16"
"XI","Genap","4","Menjaga Keutuhan NKRI","16"
"XII","Ganjil","1","Ber-Pancasila Dalam Keseharian Di Masyarakat","6"
"XII","Ganjil","2","Ber-Pancasila Dalam Kehidupan Global","6"
"XII","Ganjil","3","Kesadaran Warga Negara Dalam Menghadapi Kasus Pelanggaran Hak Dan Pengingkaran Kewajiban","6"
"XII","Ganjil","4","Generasi Solutif Mengatasi Pelanggaran Hak Dan Pengingkaran Kewajiban","6"
"XII","Genap","5","Praktik Gotong Royong Dalam Kehidupan Masyarakat Indonesia","8"
"XII","Genap","6","Menelusur Lembaga Negara","2"
"XII","Genap","7","Menjadi Pelopor Pemilih Pemula Dalam Demokrasi Indonesia","8"
