"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Permainan Invasi (Permainan Bola Basket","6"
"XI","Ganjil","2","Permainan Net (Permainan Bola Voli)","6"
"XI","Ganjil","3","Permainan Lapangan (Permainan Sofbol","6"
"XI","Ganjil","4","Permainan Lapangan (Beladiri Pencak Silat)","6"
"XI","Genap","5","Aktivitas Senam","6"
"XI","Genap","6","Aktivitas Gerak Berirama","6"
"XI","Genap","7","Aktivitas Kebugaran Berkaitan dengan Keterampilan","6"
"XI","Genap","8","Mencegah Bahaya HIV-AIDS","6"
"XII","Ganjil","1","Permainan Invasi (Permainan Bola Basket)","9"
"XII","Ganjil","2","Permainan Net (Permainan Bola Voli)","9"
"XII","Ganjil","3","Permainan Lapangan (Permainan Sofbol)","9"
"XII","Ganjil","4","Aktivitas Atletik (Lompat Tinggi)","6"
"XII","Ganjil","5","Aktivitas Bela Diri (Pencak Silat)","6"
"XII","Genap","6","Aktivitas Senam","6"
"XII","Genap","7","Aktivitas Gerak Berirama","6"
"XII","Genap","8","Aktivitas Permainan Dan Olahraga Air (Renang Gaya Punggung)","9"
"XII","Genap","9","Aktivitas Kebugaran Jasmani Terkait Keterampilan","9"
"XII","Genap","10","Penyakit Menular Seksual (Pms)","6"
