"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Analisa Ragam Kerajinan Nusantara","8"
"XI","Ganjil","2","Pengolahan danPerancangan Produk Kerajinan","8"
"XI","Ganjil","3","Pengemasan Produk Kerajinan","8"
"XI","Ganjil","4","Produksi Karya Kerajinan Komersil","8"
"XI","Ganjil","5","Pemasaran Produk Kerajinan Lokal","8"
"XI","Genap","6","Refleksi Kegiatan Pembelajaran","8"
"XI","Genap","7","Hidangan Lauk Pauk Khas Daerah","8"
"XI","Genap","8","Produk Eco Enzyme","8"
"XI","Genap","9","Produk Olahan Pangan Kontinental","8"
"XI","Genap","10","Produk Nonpangan dari Hasil Perkebunan","8"
"XII","Ganjil","1","Sistem Produksi","22"
"XII","Ganjil","2","Kegiatan Produksi","22"
"XII","Ganjil","3","Penelitian dan Perancangan","22"
"XII","Ganjil","4","Produk Olahan Pangan Oriental","22"
"XII","Genap","5","Proyek Kerajinan Kolaborasi","22"
"XII","Genap","6","Turbidimeter","22"
"XII","Genap","7","Alat Pemilah Sampah","22"
"XII","Genap","8","Oven Otomatis (OVMA)","22"
