"Kelas","Semester","Bab/Unit","Materi","Alokasi JP"
"XI","Ganjil","1","Ragam Musik di Indonesia - Mengenal Ragam Musik Indonesia","13"
"XI","Ganjil","2","Apresiasi Musik - Bagaimana Kita Memandang Musik","13"
"XI","Ganjil","3","Kreasi Musik - Bagaimana Mengkreasi dan Mengolah Musik","13"
"XI","Ganjil","4","Pergelaran Musik -Menyelenggarakan Sebuah Pergelaran Musik","13"
"XI","Ganjil","5","Menciptakan Karya Seni Rupa","13"
"XI","Ganjil","6","Apresiasi Seni Rupa","13"
"XI","Ganjil","7","Membuat Karya Seni Rupa","13"
"XI","Ganjil","8","Membuat Karya Ekspresi Personal","13"
"XI","Ganjil","9","Ilustrasi Deskriptif","12"
"XI","Genap","10","Karakteristik Tari Tradisi dan Tari Kreasi Baru","12"
"XI","Genap","11","Komposisi Tari Tradisi","12"
"XI","Genap","12","Rancangan Pertunjukan Tari","12"
"XI","Genap","13","Pertunjukan Tari Tradisi","12"
"XI","Genap","14","Evaluasi Karya Tari Tradisi","12"
"XI","Genap","15","Teater Fisik","12"
"XI","Genap","16","Teater Non-Realis","12"
"XI","Genap","17","Teater Tradisional Indonesia","12"
"XI","Genap","18","Teater Kontemporer","12"
"XII","Ganjil","1","Apresiasi Musik","13"
"XII","Ganjil","2","Ragam Instrumen Musik","13"
"XII","Ganjil","3","Komponis Indonesia","13"
"XII","Ganjil","4","Pementasan Musik","13"
"XII","Ganjil","5","Penciptaan Karya Kriya","13"
"XII","Ganjil","6","Apresiasi Karya","13"
"XII","Genap","7","Dalam Kehidupan Sehari-Hari","12"
"XII","Genap","8","Penciptaan Seni Ilustrasi","12"
"XII","Genap","9","Publikasi Karya Seni Rupa","12"
"XII","Genap","10","Konsep Tari","12"
"XII","Genap","11","Kritik Tari","12"
